name,contributor,star,hash,url
checkstyle,287,6115,164a755af951cf0fd459d70873e1c199210d9d8b,https://github.com/checkstyle/checkstyle
commons-io,76,787,11f0abe7a3fb6954b2985ca4ab0697b2fb489e84,https://github.com/apache/commons-io
commons-lang,160,2138,f6923510352fc3fbfad68bc6c5ac5258a34671b7,https://github.com/apache/commons-lang
elasticsearch,1932,68400,92be385f8ea3d39cc42155417d208ba82423d983,https://github.com/elastic/elasticsearch
flink,908,16764,261e72119b69c4fc3e22d9bcdec50f6ca2fdc2e9,https://github.com/apache/flink
hadoop,592,14500,4c5cd751e3911e350c7437dcb28c0ed67735f635,https://github.com/apache/hadoop
hibernate-orm,420,4678,2c12ca401dcc55b296522a54135169c6e5fe57e4,https://github.com/hibernate/hibernate-orm
hibernate-search,58,390,5b778035965d7588ad1d1ae522c4bafebd3a0e16,https://github.com/hibernate/hibernate-search
intellij-community,1035,16800,cdf2efe8b88b87149784eae02241001ea60a8c29,https://github.com/JetBrains/intellij-community
javaparser,157,3771,8f25c40918feaf5f66af5fae5b23d271edefbdfc,https://github.com/javaparser/javaparser
jetty.project,159,3160,fc5dd874f3deda71e6cd42af994a5af5cb6be4af,https://github.com/eclipse/jetty.project
jgit,140,983,855842af1934dd02f2bf20b4e723d63ba5786ba0,https://gerrit.googlesource.com/jgit
junit4,151,8160,50a285d3ce69b4556ac46d8633f6beb4527b4679,https://github.com/junit-team/junit4
junit5,167,4691,be2aa2497a75dedceb37bc3297276e230fb4f293,https://github.com/junit-team/junit5
lucene-solr,234,4400,b457c2ee2ea0180f3a11c5d0b4d443083316aa31,https://github.com/apache/lucene-solr
mockito,21,12043,077562ea54f1fa87ff8dd233c3060ddbf0f1ce26,https://github.com/mockito/mockito
okhttp,236,40428,5224f3045ba9b171fce521777edf389f9206173c,https://github.com/square/okhttp
pmd,229,3482,d115ca59f73490c771abfe754414722512b4ac9b,https://github.com/pmd/pmd
spring-boot,828,56378,199cea206ffe316f60a91122207bcaea613878c9,https://github.com/spring-projects/spring-boot
spring-framework,544,43641,1984cfe9d79e8a34955a393ef9d71a2a3d11a87c,https://github.com/spring-projects/spring-framework
