project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs
gson,testNullExposeFieldSerialization,toJson,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/functional/ExposeFieldsTest.java#L46,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L579,com.google.gson.functional.ExposeFieldsTest.testNullExposeFieldSerialization(),com.google.gson.functional.ExposeFieldsTest.testNullExposeFieldSerialization(),com.google.gson.functional.ExposeFieldsTest.testNullExposeFieldSerialization(),com.google.gson.Gson.toJson(java.lang.Object),com.google.gson.Gson.toJson(Object),com.google.gson.Gson.toJson(Object)
gson,testFirstNameIsChosenForSerialization,toJson,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/functional/SerializedNameTest.java#L26,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L579,com.google.gson.functional.SerializedNameTest.testFirstNameIsChosenForSerialization(),com.google.gson.functional.SerializedNameTest.testFirstNameIsChosenForSerialization(),com.google.gson.functional.SerializedNameTest.testFirstNameIsChosenForSerialization(),com.google.gson.Gson.toJson(java.lang.Object),com.google.gson.Gson.toJson(Object),com.google.gson.Gson.toJson(Object)
gson,testDirectedAcyclicGraphSerialization,toJson,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/functional/CircularReferenceTest.java#L97,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L579,com.google.gson.functional.CircularReferenceTest.testDirectedAcyclicGraphSerialization(),com.google.gson.functional.CircularReferenceTest.testDirectedAcyclicGraphSerialization(),com.google.gson.functional.CircularReferenceTest.testDirectedAcyclicGraphSerialization(),com.google.gson.Gson.toJson(java.lang.Object),com.google.gson.Gson.toJson(Object),com.google.gson.Gson.toJson(Object)
gson,testNullSafeBugSerialize,toJson,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/regression/JsonAdapterNullSafeTest.java#L29,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L579,com.google.gson.regression.JsonAdapterNullSafeTest.testNullSafeBugSerialize(),com.google.gson.regression.JsonAdapterNullSafeTest.testNullSafeBugSerialize(),com.google.gson.regression.JsonAdapterNullSafeTest.testNullSafeBugSerialize(),com.google.gson.Gson.toJson(java.lang.Object),com.google.gson.Gson.toJson(Object),com.google.gson.Gson.toJson(Object)
gson,testStringValueAsSingleElementArraySerialization,toJson,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/functional/StringTest.java#L94,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L579,com.google.gson.functional.StringTest.testStringValueAsSingleElementArraySerialization(),com.google.gson.functional.StringTest.testStringValueAsSingleElementArraySerialization(),com.google.gson.functional.StringTest.testStringValueAsSingleElementArraySerialization(),com.google.gson.Gson.toJson(java.lang.Object),com.google.gson.Gson.toJson(Object),com.google.gson.Gson.toJson(Object)
gson,testStringValueAsSingleElementArraySerialization,toJson,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/functional/StringTest.java#L94,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L601,com.google.gson.functional.StringTest.testStringValueAsSingleElementArraySerialization(),com.google.gson.functional.StringTest.testStringValueAsSingleElementArraySerialization(),com.google.gson.functional.StringTest.testStringValueAsSingleElementArraySerialization(),"com.google.gson.Gson.toJson(java.lang.Object, java.lang.reflect.Type)","com.google.gson.Gson.toJson(Object, Type)","com.google.gson.Gson.toJson(Object, Type)"
gson,testEmptyMapNoTypeSerialization,toJsonTree,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/DefaultMapJsonSerializerTest.java#L34,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L560,com.google.gson.DefaultMapJsonSerializerTest.testEmptyMapNoTypeSerialization(),com.google.gson.DefaultMapJsonSerializerTest.testEmptyMapNoTypeSerialization(),com.google.gson.DefaultMapJsonSerializerTest.testEmptyMapNoTypeSerialization(),"com.google.gson.Gson.toJsonTree(java.lang.Object, java.lang.reflect.Type)","com.google.gson.Gson.toJsonTree(Object, Type)","com.google.gson.Gson.toJsonTree(Object, Type)"
gson,testEmptyMapSerialization,toJsonTree,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/DefaultMapJsonSerializerTest.java#L42,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L560,com.google.gson.DefaultMapJsonSerializerTest.testEmptyMapSerialization(),com.google.gson.DefaultMapJsonSerializerTest.testEmptyMapSerialization(),com.google.gson.DefaultMapJsonSerializerTest.testEmptyMapSerialization(),"com.google.gson.Gson.toJsonTree(java.lang.Object, java.lang.reflect.Type)","com.google.gson.Gson.toJsonTree(Object, Type)","com.google.gson.Gson.toJsonTree(Object, Type)"
gson,testToJsonTree,toJsonTree,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/functional/JsonTreeTest.java#L29,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L537,com.google.gson.functional.JsonTreeTest.testToJsonTree(),com.google.gson.functional.JsonTreeTest.testToJsonTree(),com.google.gson.functional.JsonTreeTest.testToJsonTree(),com.google.gson.Gson.toJsonTree(java.lang.Object),com.google.gson.Gson.toJsonTree(Object),com.google.gson.Gson.toJsonTree(Object)
gson,path,getPath,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/stream/JsonReaderPathTest.java#L46,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/stream/JsonReader.java#L1458,com.google.gson.stream.JsonReaderPathTest.path(),com.google.gson.stream.JsonReaderPathTest.path(),com.google.gson.stream.JsonReaderPathTest.path(),com.google.gson.stream.JsonReader.getPath(),com.google.gson.stream.JsonReader.getPath(),com.google.gson.stream.JsonReader.getPath()
