project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs
jenkins,getConfiguredRootUrl,getRootUrl,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/model/JenkinsGetRootUrlTest.java#L59,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/jenkins/model/Jenkins.java#L2447,jenkins.model.JenkinsGetRootUrlTest.getConfiguredRootUrl(),jenkins.model.JenkinsGetRootUrlTest.getConfiguredRootUrl(),jenkins.model.JenkinsGetRootUrlTest.getConfiguredRootUrl(),jenkins.model.Jenkins.getRootUrl(),jenkins.model.Jenkins.getRootUrl(),jenkins.model.Jenkins.getRootUrl()
jenkins,should_search_builds_by_build_params,setSearchString,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/widgets/HistoryPageFilterTest.java#L351,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/jenkins/widgets/HistoryPageFilter.java#L110,jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilter.setSearchString(java.lang.String),jenkins.widgets.HistoryPageFilter.setSearchString(String),jenkins.widgets.HistoryPageFilter.setSearchString(String)
jenkins,should_search_builds_by_build_params,add,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/widgets/HistoryPageFilterTest.java#L351,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/jenkins/widgets/HistoryPageFilter.java#L131,jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),"jenkins.widgets.HistoryPageFilter.add(java.lang.Iterable<T>, java.util.List<hudson.model.Queue.Item>)","jenkins.widgets.HistoryPageFilter.add(Iterable, List)","jenkins.widgets.HistoryPageFilter.add(Iterable, List)"
jenkins,removeAll1,removeAll,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/hudson/model/FingerprintTest.java#L178,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/hudson/model/Fingerprint.java#L543,hudson.model.FingerprintTest.removeAll1(),hudson.model.FingerprintTest.removeAll1(),hudson.model.FingerprintTest.removeAll1(),hudson.model.Fingerprint.RangeSet.removeAll(hudson.model.Fingerprint.RangeSet),hudson.model.Fingerprint.RangeSet.removeAll(RangeSet),hudson.model.Fingerprint.RangeSet.removeAll(RangeSet)
jenkins,testModeToPermissions,modeToPermissions,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/hudson/UtilTest.java#L537,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/hudson/Util.java#L1708,hudson.UtilTest.testModeToPermissions(),hudson.UtilTest.testModeToPermissions(),hudson.UtilTest.testModeToPermissions(),hudson.Util.modeToPermissions(int),hudson.Util.modeToPermissions(int),hudson.Util.modeToPermissions(int)
jenkins,redactedKeyWithoutCorrespondences,sanitize,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/security/RedactSecretJsonInErrorMessageSanitizerTest.java#L102,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/jenkins/security/RedactSecretJsonInErrorMessageSanitizer.java#L50,jenkins.security.RedactSecretJsonInErrorMessageSanitizerTest.redactedKeyWithoutCorrespondences(),jenkins.security.RedactSecretJsonInErrorMessageSanitizerTest.redactedKeyWithoutCorrespondences(),jenkins.security.RedactSecretJsonInErrorMessageSanitizerTest.redactedKeyWithoutCorrespondences(),jenkins.security.RedactSecretJsonInErrorMessageSanitizer.sanitize(net.sf.json.JSONObject),jenkins.security.RedactSecretJsonInErrorMessageSanitizer.sanitize(JSONObject),jenkins.security.RedactSecretJsonInErrorMessageSanitizer.sanitize(JSONObject)
jenkins,testIsSafeToRedirectTo,isSafeToRedirectTo,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/hudson/UtilTest.java#L419,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/hudson/Util.java#L1646,hudson.UtilTest.testIsSafeToRedirectTo(),hudson.UtilTest.testIsSafeToRedirectTo(),hudson.UtilTest.testIsSafeToRedirectTo(),hudson.Util.isSafeToRedirectTo(java.lang.String),hudson.Util.isSafeToRedirectTo(String),hudson.Util.isSafeToRedirectTo(String)
jenkins,toUpdateCenterCheckUrl_file,toUpdateCenterCheckUrl,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/hudson/model/UpdateCenterTest.java#L46,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/hudson/model/UpdateCenter.java#L1200,hudson.model.UpdateCenterTest.toUpdateCenterCheckUrl_file(),hudson.model.UpdateCenterTest.toUpdateCenterCheckUrl_file(),hudson.model.UpdateCenterTest.toUpdateCenterCheckUrl_file(),hudson.model.UpdateCenter.UpdateCenterConfiguration.toUpdateCenterCheckUrl(java.lang.String),hudson.model.UpdateCenter.UpdateCenterConfiguration.toUpdateCenterCheckUrl(String),hudson.model.UpdateCenter.UpdateCenterConfiguration.toUpdateCenterCheckUrl(String)
jenkins,cycle2,run,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/hudson/util/CyclicGraphDetectorTest.java#L80,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/hudson/util/CyclicGraphDetector.java#L22,hudson.util.CyclicGraphDetectorTest.cycle2(),hudson.util.CyclicGraphDetectorTest.cycle2(),hudson.util.CyclicGraphDetectorTest.cycle2(),hudson.util.CyclicGraphDetector.run(java.lang.Iterable<? extends N>),hudson.util.CyclicGraphDetector.run(Iterable),hudson.util.CyclicGraphDetector.run(Iterable)
jenkins,rotation,rewind,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/hudson/util/io/RewindableRotatingFileOutputStreamTest.java#L26,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/hudson/util/io/RewindableRotatingFileOutputStream.java#L61,hudson.util.io.RewindableRotatingFileOutputStreamTest.rotation(),hudson.util.io.RewindableRotatingFileOutputStreamTest.rotation(),hudson.util.io.RewindableRotatingFileOutputStreamTest.rotation(),hudson.util.io.RewindableRotatingFileOutputStream.rewind(),hudson.util.io.RewindableRotatingFileOutputStream.rewind(),hudson.util.io.RewindableRotatingFileOutputStream.rewind()
