project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs
jfreechart,testDrawWithNullInfo,createBufferedImage,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/renderer/category/GroupedStackedBarRendererTest.java#L124,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/chart/JFreeChart.java#L1377,org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),"org.jfree.chart.JFreeChart.createBufferedImage(int, int, org.jfree.chart.ChartRenderingInfo)","org.jfree.chart.JFreeChart.createBufferedImage(int, int, ChartRenderingInfo)","org.jfree.chart.JFreeChart.createBufferedImage(int, int, ChartRenderingInfo)"
jfreechart,testCloning2,clone,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/data/xy/CategoryTableXYDatasetTest.java#L111,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/data/xy/CategoryTableXYDataset.java#L417,org.jfree.data.xy.CategoryTableXYDatasetTest.testCloning2(),org.jfree.data.xy.CategoryTableXYDatasetTest.testCloning2(),org.jfree.data.xy.CategoryTableXYDatasetTest.testCloning2(),org.jfree.data.xy.CategoryTableXYDataset.clone(),org.jfree.data.xy.CategoryTableXYDataset.clone(),org.jfree.data.xy.CategoryTableXYDataset.clone()
jfreechart,testGetLegendItem,getLegendItem,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/renderer/category/BoxAndWhiskerRendererTest.java#L292,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/chart/renderer/category/BoxAndWhiskerRenderer.java#L452,org.jfree.chart.renderer.category.BoxAndWhiskerRendererTest.testGetLegendItem(),org.jfree.chart.renderer.category.BoxAndWhiskerRendererTest.testGetLegendItem(),org.jfree.chart.renderer.category.BoxAndWhiskerRendererTest.testGetLegendItem(),"org.jfree.chart.renderer.category.BoxAndWhiskerRenderer.getLegendItem(int, int)","org.jfree.chart.renderer.category.BoxAndWhiskerRenderer.getLegendItem(int, int)","org.jfree.chart.renderer.category.BoxAndWhiskerRenderer.getLegendItem(int, int)"
jfreechart,testNF,arrange,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/block/GridArrangementTest.java#L130,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/chart/block/BlockContainer.java#L177,org.jfree.chart.block.GridArrangementTest.testNF(),org.jfree.chart.block.GridArrangementTest.testNF(),org.jfree.chart.block.GridArrangementTest.testNF(),"org.jfree.chart.block.BlockContainer.arrange(java.awt.Graphics2D, org.jfree.chart.block.RectangleConstraint)","org.jfree.chart.block.BlockContainer.arrange(Graphics2D, RectangleConstraint)","org.jfree.chart.block.BlockContainer.arrange(Graphics2D, RectangleConstraint)"
jfreechart,testBug1864222,createCopy,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/data/time/TimeSeriesTest.java#L925,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/data/time/TimeSeries.java#L1183,org.jfree.data.time.TimeSeriesTest.testBug1864222(),org.jfree.data.time.TimeSeriesTest.testBug1864222(),org.jfree.data.time.TimeSeriesTest.testBug1864222(),"org.jfree.data.time.TimeSeries.createCopy(org.jfree.data.time.RegularTimePeriod, org.jfree.data.time.RegularTimePeriod)","org.jfree.data.time.TimeSeries.createCopy(RegularTimePeriod, RegularTimePeriod)","org.jfree.data.time.TimeSeries.createCopy(RegularTimePeriod, RegularTimePeriod)"
jfreechart,testRemoveAgedItems5,removeAgedItems,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/data/time/TimeSeriesTest.java#L877,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/data/time/TimeSeries.java#L996,org.jfree.data.time.TimeSeriesTest.testRemoveAgedItems5(),org.jfree.data.time.TimeSeriesTest.testRemoveAgedItems5(),org.jfree.data.time.TimeSeriesTest.testRemoveAgedItems5(),"org.jfree.data.time.TimeSeries.removeAgedItems(long, boolean)","org.jfree.data.time.TimeSeries.removeAgedItems(long, boolean)","org.jfree.data.time.TimeSeries.removeAgedItems(long, boolean)"
jfreechart,test788597,addSeries,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/data/xy/TableXYDatasetTest.java#L161,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/data/xy/DefaultTableXYDataset.java#L145,org.jfree.data.xy.TableXYDatasetTest.test788597(),org.jfree.data.xy.TableXYDatasetTest.test788597(),org.jfree.data.xy.TableXYDatasetTest.test788597(),org.jfree.data.xy.DefaultTableXYDataset.addSeries(org.jfree.data.xy.XYSeries),org.jfree.data.xy.DefaultTableXYDataset.addSeries(XYSeries),org.jfree.data.xy.DefaultTableXYDataset.addSeries(XYSeries)
jfreechart,test788597,getItemCount,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/data/xy/TableXYDatasetTest.java#L161,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/data/xy/DefaultTableXYDataset.java#L224,org.jfree.data.xy.TableXYDatasetTest.test788597(),org.jfree.data.xy.TableXYDatasetTest.test788597(),org.jfree.data.xy.TableXYDatasetTest.test788597(),org.jfree.data.xy.DefaultTableXYDataset.getItemCount(),org.jfree.data.xy.DefaultTableXYDataset.getItemCount(),org.jfree.data.xy.DefaultTableXYDataset.getItemCount()
jfreechart,test788597,removeAllSeries,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/data/xy/TableXYDatasetTest.java#L161,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/data/xy/DefaultTableXYDataset.java#L359,org.jfree.data.xy.TableXYDatasetTest.test788597(),org.jfree.data.xy.TableXYDatasetTest.test788597(),org.jfree.data.xy.TableXYDatasetTest.test788597(),org.jfree.data.xy.DefaultTableXYDataset.removeAllSeries(),org.jfree.data.xy.DefaultTableXYDataset.removeAllSeries(),org.jfree.data.xy.DefaultTableXYDataset.removeAllSeries()
jfreechart,testCloning,clone,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/plot/MeterPlotTest.java#L200,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/chart/plot/MeterPlot.java#L1311,org.jfree.chart.plot.MeterPlotTest.testCloning(),org.jfree.chart.plot.MeterPlotTest.testCloning(),org.jfree.chart.plot.MeterPlotTest.testCloning(),org.jfree.chart.plot.MeterPlot.clone(),org.jfree.chart.plot.MeterPlot.clone(),org.jfree.chart.plot.MeterPlot.clone()
