name,contributor,star,hash,url
hadoop,592,14500,4c5cd751e3911e350c7437dcb28c0ed67735f635,https://github.com/apache/hadoop
elasticsearch,1932,68400,92be385f8ea3d39cc42155417d208ba82423d983,https://github.com/elastic/elasticsearch
flink,908,16764,261e72119b69c4fc3e22d9bcdec50f6ca2fdc2e9,https://github.com/apache/flink
lucene-solr,234,4400,b457c2ee2ea0180f3a11c5d0b4d443083316aa31,https://github.com/apache/lucene-solr
presto,734,15700,bb20eba263685c6ae7b8ee71e405746eed579431,https://github.com/prestodb/presto
docx4j,37,1620,36c3787d1d858728dc48ffe8af2a59e6bdf8230c,https://github.com/plutext/docx4j
hbase,463,5200,3bd54217a04e30db09e3261626687fc8779061b3,https://github.com/apache/hbase
intellij-community,1035,16800,cdf2efe8b88b87149784eae02241001ea60a8c29,https://github.com/JetBrains/intellij-community
weka,2,323,a22631915b82ffa1d51d4b4a75ab5237efea952d,https://github.com/wekan/wekan
hazelcast,340,6000,a59ad427a0afe6e0beb1a6adf69b7c6d84c10aaa,https://github.com/hazelcast/hazelcast
spring-framework,544,43641,1984cfe9d79e8a34955a393ef9d71a2a3d11a87c,https://github.com/spring-projects/spring-framework
hibernate-orm,420,4678,2c12ca401dcc55b296522a54135169c6e5fe57e4,https://github.com/hibernate/hibernate-orm
eclipse.jdt.core,133,146,475591df71dc3e97c1ebea9d583779b10c2f1505,https://github.com/eclipse-jdt/eclipse.jdt.core
guava,264,41775,e352076da65aa3afb5dc59cfd3c1f41574b5ebeb,https://github.com/google/guava
sonarqube,137,5937,6b806ebf8e189b2abf7d29c964abf09a3a3beb8c,https://github.com/SonarSource/sonarqube
jclouds,231,384,7af4d8e8f19c479b0a8f35e06dd68418a8367b3e,https://github.com/apache/jclouds
wildfly,343,2593,f21f5db2c019bf96030e5ae388bc3248e7ee6552,https://github.com/wildfly/wildfly
netty,526,27185,662e0b4b81833a835b290e60982c9de3a1878656,https://github.com/netty/netty
cassandra,447,8600,7cdad3ce61664cf2ffac75b6e537c910e573754c,https://github.com/apache/cassandra
argouml,4,238,fcbe6c6eb764525a7509d8bc8bdfa19aea551c9f,https://github.com/argouml-tigris-org/argouml
jetty.project,159,3160,fc5dd874f3deda71e6cd42af994a5af5cb6be4af,https://github.com/eclipse/jetty.project
voldemort,65,2475,a7dbdea58032021361680faacf2782cf981c5332,https://github.com/voldemort/voldemort
spring-boot,828,56378,199cea206ffe316f60a91122207bcaea613878c9,https://github.com/spring-projects/spring-boot
wicket,83,570,e3f3704888f08e32040f21cb41b116cce43acfce,https://github.com/apache/wicket
ant,58,303,1ce1cc2317cb2b2773ab6b765f1a79ccd4806926,https://github.com/apache/ant
jgit,140,983,855842af1934dd02f2bf20b4e723d63ba5786ba0,https://gerrit.googlesource.com/jgit
mongo-java-driver,151,2422,8ab109b31eba9ea99ea459a3ce0aad988442985e,https://github.com/mongodb/mongo-java-driver
pmd,229,3482,d115ca59f73490c771abfe754414722512b4ac9b,https://github.com/pmd/pmd
xerces2-j,3,38,cf0c517a41b31b0242b96ab1af9627a3ab07fcd2,https://github.com/apache/xerces2-j
RxJava,278,44922,880eed2ac0dc1e3fc234bb652f5e177ce643093c,https://github.com/ReactiveX/RxJava
openmrs-core,371,1017,c5928a553593ba2f798fad220b7627519ccbdf71,https://github.com/openmrs/openmrs-core
javaparser,157,3771,8f25c40918feaf5f66af5fae5b23d271edefbdfc,https://github.com/javaparser/javaparser
hibernate-search,58,390,5b778035965d7588ad1d1ae522c4bafebd3a0e16,https://github.com/hibernate/hibernate-search
titan,34,5135,ee226e52415b8bf43b700afac75fa5b9767993a5,https://github.com/thinkaurelius/titan
facebook-android-sdk,124,6100,fb1b91a32c8ac21ec91800748a24e3c20b21ac0e,https://github.com/facebook/facebook-android-sdk
checkstyle,287,6115,164a755af951cf0fd459d70873e1c199210d9d8b,https://github.com/checkstyle/checkstyle
commons-lang,160,2138,f6923510352fc3fbfad68bc6c5ac5258a34671b7,https://github.com/apache/commons-lang
lombok,114,10391,4fdcdd126a4b5ce365b97eb498536d04caee3b53,https://github.com/projectlombok/lombok
atmosphere,111,3524,fadfb06af0a42cdc3ec5a364b7cf940f344629d6,https://github.com/Atmosphere/atmosphere
jna,143,6655,b8443b80351ca3f0cdefe2752c7209abf0f5d819,https://github.com/java-native-access/jna
Essentials,215,1086,d36d80933f8f672cd8bb0f210adc23aac10850ea,https://github.com/EssentialsX/Essentials
junit5,167,4691,be2aa2497a75dedceb37bc3297276e230fb4f293,https://github.com/junit-team/junit5
hector,71,648,a302e68ca8d91b45d332e8c9afd7d98030b54de1,https://github.com/hector-client/hector
okhttp,236,40428,5224f3045ba9b171fce521777edf389f9206173c,https://github.com/square/okhttp
mockito,21,12043,077562ea54f1fa87ff8dd233c3060ddbf0f1ce26,https://github.com/mockito/mockito
cucumber-jvm,226,2291,b57b924bd19e70f1dac2d018dc9b2e58ea12de9f,https://github.com/cucumber/cucumber-jvm
commons-io,76,787,11f0abe7a3fb6954b2985ca4ab0697b2fb489e84,https://github.com/apache/commons-io
