repo_name,ref,stars,forks,watchers,contributors,commits,created_at,updated_at,url,created_hash,updated_hash,branch
Activiti,friesen,10516,6967,608,224,11363,2010-06-18T12:33:58+00:00,2026-01-28T15:34:17+00:00,https://github.com/Activiti/Activiti,60b23ed7eb42437400e039e8a15b71b969f6c14a,ac011238ee5b49c93efa93389a67b2b41138504d,develop
ant,chowdhury,456,451,30,81,15056,2000-01-13T10:15:43+00:00,2026-01-04T14:37:45+00:00,https://github.com/apache/ant,96d856e389bb88f6d0815cd8f48643e5ce8b7957,3ffea30ee459d9fc4b9a005d418a192157e0e3ac,master
AntennaPod,friesen,7601,1607,151,279,9278,2011-12-23T18:22:06+00:00,2026-01-25T12:36:30+00:00,https://github.com/AntennaPod/AntennaPod,c9283f09dced6f156e13675ef4c13ebeb20cb9e5,d4717bca10cf5e2b2e69f04640aeece6c27cb0af,develop
Apktool,friesen,23769,3882,661,101,2302,2010-03-12T11:47:56+00:00,2026-01-28T15:28:43+00:00,https://github.com/iBotPeaches/Apktool,48e1afd6b14d6da07b8f0b4544e78533ac454866,79011782b758ecb8e125c410ec454efd8d2689d0,main
argouml,chowdhury,269,104,26,5,17843,1998-01-26T22:19:17+00:00,2022-08-21T13:37:57+00:00,https://github.com/argouml-tigris-org/argouml,3fc0287e1c4b873e13d1f928e4c4f4413a5cac69,be952fcfa77451e594a41779db83e1a0d7221002,master
async-http-client,friesen,6400,1595,348,178,4301,2010-02-16T21:34:29+00:00,2025-12-31T23:36:46+00:00,https://github.com/AsyncHttpClient/async-http-client,295cb4e2284c6bf8033345bf1e252196842e7fe2,ae59f51f70b2ad99601c0a0c23d8c6e9260a0400,main
atmosphere,chowdhury,3727,753,233,114,6126,2010-04-27T15:19:19+00:00,2025-12-17T18:48:59+00:00,https://github.com/Atmosphere/atmosphere,7529a8bdebf7c6b2f1e332a9b3e5664ec677bd76,1407d1180add53e8a4592ae8c00ef33e4f1623bb,main
auto,islam,10547,1212,336,81,2052,2013-05-22T21:46:24+00:00,2026-01-13T14:28:42+00:00,https://github.com/google/auto,a85ff72bb18c60f936a78a3a3cdb940dca2cc53f,8a2b2d0b5074866bf0ebe5b9281e0515312b63af,main
baritone,friesen,8593,1762,108,67,4217,2018-08-01T15:34:35+00:00,2026-01-05T04:51:06+00:00,https://github.com/cabaletta/baritone,f559e45f9c237039ed6fce380b37157d9b34a7d8,670dba0772cb46a0036bd3662982c7e8b7da1ce4,1.19.4
byte-buddy,friesen,6744,843,164,97,7733,2013-11-25T19:38:04+00:00,2026-01-15T23:55:06+00:00,https://github.com/raphw/byte-buddy,9b83864f1b4ffa6b74b4ee8cadf851a0186d8c97,9689261b67934371b8f3860a055153e944ea6491,master
caffeine,friesen,17427,1682,359,63,2428,2014-12-13T08:45:11+00:00,2026-01-25T18:42:26+00:00,https://github.com/ben-manes/caffeine,97b7960d4c8a5a79379c807f3b2405375abd9ebd,5cc036327d4caa5b620a70b98f5d4ed337abf3d3,master
cassandra,chowdhury#islam,9601,3828,429,270,31572,2009-03-02T07:57:22+00:00,2026-01-27T19:22:38+00:00,https://github.com/apache/cassandra,1f91e99223b0d1b7ed8390400d4a06ac08e4aa85,cd707ba67d182c5a8cfba087d0ae48da87532469,trunk
checkstyle,chowdhury#grund,8839,3971,222,378,16025,2001-06-22T13:15:09+00:00,2026-01-28T02:56:31+00:00,https://github.com/checkstyle/checkstyle,5f53a2a380e038e791af244b42f245b813dbc379,1d66837cd4be945795d8936f4d84cc6ff43e2274,master
commons-io,chowdhury#grund,1061,712,83,117,5994,2002-01-25T19:06:14+00:00,2026-01-26T23:02:59+00:00,https://github.com/apache/commons-io,9423d7dc927d7d44980b08b59b2a127f8f26ae99,2eb4ff6a65563254689ab6b49f4124aa00bd7391,master
commons-lang,chowdhury#grund,2918,1875,166,249,9247,2002-07-19T03:35:56+00:00,2026-01-28T02:47:36+00:00,https://github.com/apache/commons-lang,750a21e86441b247d85c95e59bf17e596a69d626,7bcb03a49923bc12f7e3f2c04912d0925f178978,master
cucumber-jvm,chowdhury,2791,2020,205,263,6793,2009-01-28T14:45:23+00:00,2026-01-28T15:50:09+00:00,https://github.com/cucumber/cucumber-jvm,c654ee66bd637d344934bf48d6a6b3ac030223f6,4d9dd9304fe05e15c445c6f3b4d0e364d7c70223,main
dagger,islam,17687,2040,514,127,4566,2012-06-25T19:29:15+00:00,2026-01-27T22:08:20+00:00,https://github.com/google/dagger,70eee483d7b2cde633f2ff93fbe9b73c5612ce2b,f9deeef1e70346aabd9a7523f21d652dde76469d,master
dbeaver,friesen,48445,4013,531,357,28121,2012-10-03T07:24:27+00:00,2026-01-28T16:24:40+00:00,https://github.com/dbeaver/dbeaver,371fb3adf8cf4fe86853a63723c0fcf3c55d3b0c,59f8ed2ed61e7325a4ad4250228f1864971c8c32,devel
docx4j,chowdhury,2324,1228,107,39,4239,2007-10-29T05:14:55+00:00,2026-01-24T01:46:53+00:00,https://github.com/plutext/docx4j,db29775dcc8a68bf50846791daa904974a62059d,67d9cc3cdd3e63d537a30061103ef8a60304fb42,VERSION_11_5_10
dropwizard,friesen,8588,3434,360,351,8995,2011-05-10T01:55:45+00:00,2026-01-27T21:43:18+00:00,https://github.com/dropwizard/dropwizard,705be2bbe7febdf48fda909273db6b0b2bb41bc5,18b1f9bdc425cc0604e7331fac5c4935ed2aec10,release/5.0.x
dubbo,friesen#islam,41722,26560,2994,401,8752,2011-10-20T15:04:29+00:00,2026-01-28T06:42:58+00:00,https://github.com/apache/dubbo,d22223d3bc41045cfde4191512f7b597e0dc2028,f5d6436fae851c577fcf2eb1aaab543e92acf9b4,3.3
eclipse.jdt.core,chowdhury,221,162,12,145,27624,2001-06-05T16:17:58+00:00,2026-01-28T07:50:07+00:00,https://github.com/eclipse-jdt/eclipse.jdt.core,be6c0d208933ac936a6ccb6c66b03d3da13e3796,1ec8da704c09c2fc1c69ac1c5f6ee7e974ab72af,master
elasticsearch,chowdhury#grund,75981,25782,2636,349,93367,2010-02-08T13:22:27+00:00,2026-01-28T15:44:19+00:00,https://github.com/elastic/elasticsearch,ec72ca8b7a115f9b2eea3c76c518062b99a1d015,ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994,main
error-prone,friesen,7133,780,152,231,7079,2011-09-15T05:10:29+00:00,2026-01-28T01:08:48+00:00,https://github.com/google/error-prone,05adb770263dffe5aacb34b5cb3047ffcee759dd,404b754a150413045eeba0ede07b3f20c6041457,master
Essentials,chowdhury,2192,1055,66,271,6637,2011-03-19T22:23:47+00:00,2026-01-17T19:54:28+00:00,https://github.com/EssentialsX/Essentials,e1dc6cf03069011eac824884f4e88bd33d689468,77756620cf83a9fbc81170eda2340e7e980f8abf,2.x
ExoPlayer,friesen,21927,6024,834,246,18875,2014-06-16T11:56:04+00:00,2024-07-25T14:56:04+00:00,https://github.com/google/ExoPlayer,27ab5c83a604407e8649aa4cca1cda0e101b9aab,dd430f7053a1a3958deea3ead6a0565150c06bfc,release-v2
facebook-android-sdk,chowdhury,6453,3692,697,125,3021,2010-05-10T18:24:11+00:00,2026-01-27T17:39:03+00:00,https://github.com/facebook/facebook-android-sdk,b119d7cb840437257d5f584f2e8ebf5f77ec6f55,186c488d38acf0a92c2e9fcadacdcb05994b755b,main
fastjson,islam,25725,6460,1274,170,3983,2011-07-31T12:03:29+00:00,2023-05-12T06:16:03+00:00,https://github.com/alibaba/fastjson,8f0bd9cb5f67f31e767de256401eaa2c074211be,c942c83443117b73af5ad278cc780270998ba3e1,master
feign,friesen,9785,1946,395,267,2728,2012-03-18T08:07:52+00:00,2026-01-28T05:35:50+00:00,https://github.com/OpenFeign/feign,556a3b330d426363374527f7a5bb783cff9f4c4b,f19e903db22924593198fa193e185cf19a965e1b,master
flink,chowdhury#grund,25747,13855,924,285,37447,2010-12-15T16:02:01+00:00,2026-01-28T14:48:11+00:00,https://github.com/apache/flink,3b88e30924268799c96317fe1bf9f5b9c6bf6f80,d141ad7ab86dcddc5937dce52f1657bae6ded2ed,master
flyway,friesen,9471,1589,171,120,3239,2010-04-13T21:33:48+00:00,2026-01-28T13:50:02+00:00,https://github.com/flyway/flyway,169014f7eae42dd984a4c8bb31ed60033a1de3c1,d003178d29f9d19a8381f70d4f0a44fdae08dd34,main
glide,islam,35017,6177,1028,136,3073,2012-12-20T21:26:54+00:00,2026-01-14T19:07:10+00:00,https://github.com/bumptech/glide,d4bacdf31b1ef95d1e192aa0aa3cf9651ed8f9d4,b12f574fd6ea20430c55c5a2eb29d624d843bf3e,master
