oracle,oracle_file_id,oracle_file_name,project,repository_url,start_commit_hash,method,start,end,url,expected_commits,historyFinder_runtime,codeShovel_runtime,codeTracker_runtime,intelliJ_runtime,gitLineRange_runtime,gitFuncName_runtime,historyFinder_precision,codeShovel_precision,codeTracker_precision,intelliJ_precision,gitLineRange_precision,gitFuncName_precision,historyFinder_recall,codeShovel_recall,codeTracker_recall,intelliJ_recall,gitLineRange_recall,gitFuncName_recall,historyFinder_f1,codeShovel_f1,codeTracker_f1,intelliJ_f1,gitLineRange_f1,gitFuncName_f1,historyFinder_commits,codeShovel_commits,codeTracker_commits,intelliJ_commits,gitLineRange_commits,gitFuncName_commits,historyFinder_tp,codeShovel_tp,codeTracker_tp,intelliJ_tp,gitLineRange_tp,gitFuncName_tp,historyFinder_fp,codeShovel_fp,codeTracker_fp,intelliJ_fp,gitLineRange_fp,gitFuncName_fp,historyFinder_fn,codeShovel_fn,codeTracker_fn,intelliJ_fn,gitLineRange_fn,gitFuncName_fn
test method,1001,1001-checkstyle-AstRegressionTest-testInputSealedAndPermits.json,checkstyle,https://github.com/checkstyle/checkstyle.git,1d66837cd4be945795d8936f4d84cc6ff43e2274,testInputSealedAndPermits,216,219,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/test/java/com/puppycrawl/tools/checkstyle/grammar/AstRegressionTest.java#L216,3,982,1252,1325,21,393,265,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,21,37,3,3,3,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3
test method,1002,1002-checkstyle-OuterTypeFilenameCheckTest-testGetRequiredTokens.json,checkstyle,https://github.com/checkstyle/checkstyle.git,1d66837cd4be945795d8936f4d84cc6ff43e2274,testGetRequiredTokens,44,56,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/test/java/com/puppycrawl/tools/checkstyle/checks/OuterTypeFilenameCheckTest.java#L44,8,684,1344,948,0,386,226,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,48,56,7,8,8,0,8,7,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,8
test method,1003,1003-checkstyle-SuppressWarningsHolderTest-testGet.json,checkstyle,https://github.com/checkstyle/checkstyle.git,1d66837cd4be945795d8936f4d84cc6ff43e2274,testGet,73,82,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/test/java/com/puppycrawl/tools/checkstyle/checks/SuppressWarningsHolderTest.java#L73,7,928,1582,1148,0,389,223,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,83,122,7,7,7,0,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,7
test method,1004,1004-commons-io-SwappedDataInputStreamTest-testSkipBytes.json,commons-io,https://github.com/apache/commons-io.git,2eb4ff6a65563254689ab6b49f4124aa00bd7391,testSkipBytes,143,146,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/test/java/org/apache/commons/io/input/SwappedDataInputStreamTest.java#L143,6,253,296,209,0,145,137,1.00,1.00,1.00,0.71,0.67,0.67,1.00,1.00,1.00,0.83,0.80,0.80,1.00,1.00,1.00,0.77,0.73,0.73,42,44,5,7,6,6,6,4,5,5,4,4,0,0,0,2,2,2,0,0,0,1,1,1
test method,1005,1005-commons-io-FileUtilsFileNewerTest-testIsFileNewerNoFileReference.json,commons-io,https://github.com/apache/commons-io.git,2eb4ff6a65563254689ab6b49f4124aa00bd7391,testIsFileNewerNoFileReference,166,168,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/test/java/org/apache/commons/io/FileUtilsFileNewerTest.java#L166,14,307,436,287,0,131,126,1.00,1.00,0.50,1.00,1.00,1.00,1.00,1.00,0.11,0.86,0.80,0.80,1.00,1.00,0.18,0.92,0.89,0.89,48,45,2,12,8,8,14,9,1,12,8,8,0,0,1,0,0,0,0,0,8,2,2,2
test method,1006,1006-commons-io-FileUtilsTest-testChecksumOnNullChecksum.json,commons-io,https://github.com/apache/commons-io.git,2eb4ff6a65563254689ab6b49f4124aa00bd7391,testChecksumOnNullChecksum,572,578,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/test/java/org/apache/commons/io/FileUtilsTest.java#L572,11,7038,6204,3484,0,182,174,1.00,1.00,0.75,0.44,0.47,0.50,1.00,1.00,0.27,0.70,0.70,0.73,1.00,1.00,0.40,0.54,0.56,0.59,266,299,4,16,15,16,11,10,3,7,7,8,0,0,1,9,8,8,0,0,8,3,3,3
test method,1007,1007-commons-lang-ArrayUtilsTest-testSwapObjectRange.json,commons-lang,https://github.com/apache/commons-lang.git,7bcb03a49923bc12f7e3f2c04912d0925f178978,testSwapObjectRange,6504,6554,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java#L6504,10,9700,9308,6330,0,294,279,1.00,1.00,0.86,1.00,0.39,0.39,1.00,1.00,0.86,1.00,0.70,0.70,1.00,1.00,0.86,1.00,0.50,0.50,125,151,7,10,18,18,10,7,6,10,7,7,0,0,1,0,11,11,0,0,1,0,3,3
test method,1008,1008-commons-lang-FastDatePrinterTest-testLang1103.json,commons-lang,https://github.com/apache/commons-lang.git,7bcb03a49923bc12f7e3f2c04912d0925f178978,testLang1103,235,244,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/test/java/org/apache/commons/lang3/time/FastDatePrinterTest.java#L235,4,423,561,323,0,202,200,1.00,1.00,1.00,0.20,0.20,0.20,1.00,1.00,1.00,0.25,0.25,0.25,1.00,1.00,1.00,0.22,0.22,0.22,42,56,4,5,5,5,4,4,4,1,1,1,0,0,0,4,4,4,0,0,0,3,3,3
test method,1009,1009-commons-lang-StrBuilderTest-testToCharArray.json,commons-lang,https://github.com/apache/commons-lang.git,7bcb03a49923bc12f7e3f2c04912d0925f178978,testToCharArray,1741,1753,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/test/java/org/apache/commons/lang3/text/StrBuilderTest.java#L1741,11,1471,1626,1863,1,202,218,1.00,1.00,0.92,0.40,0.25,0.43,1.00,1.00,1.00,0.22,0.11,0.27,1.00,1.00,0.96,0.29,0.15,0.33,85,85,12,5,4,7,11,8,11,2,1,3,0,0,1,3,3,4,0,0,0,7,8,8
test method,1010,1010-elasticsearch-LikeConversionTests-testWildcardEscapedWildcard.json,elasticsearch,https://github.com/elastic/elasticsearch.git,ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994,testWildcardEscapedWildcard,89,91,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/x-pack/plugin/sql/src/test/java/org/elasticsearch/xpack/sql/util/LikeConversionTests.java#L89,3,2434,2173,4362,1,2095,866,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.33,0.33,0.00,1.00,1.00,1.00,0.50,0.50,0.00,11,8,3,1,1,0,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,2,2,3
