project,tool,change,size,main_size,test_size,mww_u1,mww_u2,mww_p,d_value,d_sign,effect_size,N,S,M,L
Activiti,historyFinder,diff,11055,7823,3232,11057396.0,14226540.0,0.0,-0.13,-,negligible,x,,,
AntennaPod,historyFinder,diff,3251,2840,411,600264.0,566976.0,0.34,0.03,+,negligible,x,,,
Apktool,historyFinder,diff,825,640,185,46957.0,71443.0,0.0,-0.21,-,small,,x,,
Essentials,historyFinder,diff,3179,3146,33,52206.0,51612.0,0.95,0.01,+,negligible,x,,,
ExoPlayer,historyFinder,diff,16448,11883,4565,26111650.0,28134245.0,0.0,-0.04,-,negligible,x,,,
HMCL,historyFinder,diff,4960,4789,171,333081.0,485838.0,0.0,-0.19,-,small,,x,,
Hystrix,historyFinder,diff,2772,1966,806,434740.5,1149855.5,0.0,-0.45,-,medium,,,x,
MPAndroidChart,historyFinder,diff,1304,1294,10,9159.0,3781.0,0.02,0.42,+,medium,,,x,
Mindustry,historyFinder,diff,8001,7925,76,296203.0,306097.0,0.8,-0.02,-,negligible,x,,,
MinecraftForge,historyFinder,diff,4223,4178,45,153594.5,34415.5,0.0,0.63,+,large,,,,x
Paper,historyFinder,diff,12513,11841,672,3898273.0,4058879.0,0.35,-0.02,-,negligible,x,,,
RxJava,historyFinder,diff,20738,8549,12189,65322787.5,38880973.5,0.0,0.25,+,small,,x,,
Signal-Server,historyFinder,diff,3774,2256,1518,1222644.0,2201964.0,0.0,-0.29,-,small,,x,,
SmartTube,historyFinder,diff,16767,15341,1426,12873314.5,9002951.5,0.0,0.18,+,small,,x,,
all,historyFinder,diff,2328327,1760423,567904,451812166337.5,547939097054.5,0.0,-0.1,-,negligible,x,,,
ant,historyFinder,diff,9142,6713,2429,11214408.0,5091469.0,0.0,0.38,+,medium,,,x,
argouml,historyFinder,diff,10821,10257,564,3079165.0,2705783.0,0.01,0.06,+,negligible,x,,,
async-http-client,historyFinder,diff,1165,1119,46,44050.0,7424.0,0.0,0.71,+,large,,,,x
atmosphere,historyFinder,diff,2328,2059,269,243464.5,310406.5,0.0,-0.12,-,negligible,x,,,
auto,historyFinder,diff,1924,1054,870,440806.0,476174.0,0.13,-0.04,-,negligible,x,,,
baritone,historyFinder,diff,1624,1618,6,4734.5,4973.5,0.92,-0.02,-,negligible,x,,,
byte-buddy,historyFinder,diff,12644,7478,5166,21183828.5,17447519.5,0.0,0.1,+,negligible,x,,,
caffeine,historyFinder,diff,7498,5091,2407,3665573.0,8588464.0,0.0,-0.4,-,medium,,,x,
cassandra,historyFinder,diff,47367,36818,10549,191011107.0,197381975.0,0.01,-0.02,-,negligible,x,,,
checkstyle,historyFinder,diff,13432,7771,5661,13617877.5,30373753.5,0.0,-0.38,-,medium,,,x,
commons-io,historyFinder,diff,4818,2204,2614,2961352.5,2799903.5,0.09,0.03,+,negligible,x,,,
commons-lang,historyFinder,diff,8012,3398,4614,10502601.0,5175771.0,0.0,0.34,+,medium,,,x,
cucumber-jvm,historyFinder,diff,2855,1536,1319,693347.0,1332637.0,0.0,-0.32,-,small,,x,,
dagger,historyFinder,diff,6824,6705,119,455002.0,342893.0,0.01,0.14,+,negligible,x,,,
dbeaver,historyFinder,diff,32551,32110,441,8214725.0,5945785.0,0.0,0.16,+,small,,x,,
docx4j,historyFinder,diff,18538,18045,493,5400430.0,3495755.0,0.0,0.21,+,small,,x,,
dropwizard,historyFinder,diff,3108,1411,1697,744162.5,1650304.5,0.0,-0.38,-,medium,,,x,
dubbo,historyFinder,diff,17389,13369,4020,18116235.5,35627144.5,0.0,-0.33,-,small,,x,,
eclipse.jdt.core,historyFinder,diff,72340,72005,335,13508698.0,10612977.0,0.0,0.12,+,negligible,x,,,
elasticsearch,historyFinder,diff,193281,151404,41877,2465250241.5,3875095066.5,0.0,-0.22,-,small,,x,,
error-prone,historyFinder,diff,13049,6227,6822,17700106.5,24780487.5,0.0,-0.17,-,small,,x,,
facebook-android-sdk,historyFinder,diff,297,289,8,592.0,1720.0,0.01,-0.49,-,large,,,,x
fastjson,historyFinder,diff,6695,1458,5237,5861025.5,1774520.5,0.0,0.54,+,large,,,,x
feign,historyFinder,diff,2474,1291,1183,362256.0,1164997.0,0.0,-0.53,-,large,,,,x
flink,historyFinder,diff,64914,47697,17217,269704422.5,551494826.5,0.0,-0.34,-,medium,,,x,
glide,historyFinder,diff,5022,2880,2142,3122876.0,3046084.0,0.44,0.01,+,negligible,x,,,
grpc-java,historyFinder,diff,15472,10601,4871,21532001.5,30105469.5,0.0,-0.17,-,small,,x,,
gson,historyFinder,diff,2368,875,1493,687730.0,618645.0,0.03,0.05,+,negligible,x,,,
guava,historyFinder,diff,42516,27484,15032,215781807.5,197357680.5,0.0,0.04,+,negligible,x,,,
guice,historyFinder,diff,3897,2358,1539,1689682.0,1939280.0,0.0,-0.07,-,negligible,x,,,
hadoop,historyFinder,diff,84397,63751,20646,463813652.0,852389494.0,0.0,-0.3,-,small,,x,,
hazelcast,historyFinder,diff,59963,40391,19572,408703848.0,381828804.0,0.0,0.03,+,negligible,x,,,
hbase,historyFinder,diff,42974,35340,7634,99308344.0,170477216.0,0.0,-0.26,-,small,,x,,
hector,historyFinder,diff,1993,1655,338,259705.5,299684.5,0.03,-0.07,-,negligible,x,,,
hibernate-orm,historyFinder,diff,56058,41951,14107,273731360.5,318071396.5,0.0,-0.07,-,negligible,x,,,
hibernate-search,historyFinder,diff,19471,14992,4479,13982530.0,53166638.0,0.0,-0.58,-,large,,,,x
hutool,historyFinder,diff,14352,11076,3276,15566192.0,20718784.0,0.0,-0.14,-,negligible,x,,,
iceberg,historyFinder,diff,45296,30154,15142,175181843.5,281410024.5,0.0,-0.23,-,small,,x,,
incubator-seata,historyFinder,diff,19790,13602,6188,40435893.0,43733283.0,0.0,-0.04,-,negligible,x,,,
intellij-community,historyFinder,diff,238014,187978,50036,6306895903.0,3098771305.0,0.0,0.34,+,medium,,,x,
j2objc,historyFinder,diff,58796,43610,15186,295440705.5,366820754.5,0.0,-0.11,-,negligible,x,,,
javaparser,historyFinder,diff,11759,7195,4564,16536564.0,16301416.0,0.5,0.01,+,negligible,x,,,
jclouds,historyFinder,diff,22252,18270,3982,29125496.0,43625644.0,0.0,-0.2,-,small,,x,,
jedis,historyFinder,diff,10926,6040,4886,12982669.0,16528771.0,0.0,-0.12,-,negligible,x,,,
jenkins,historyFinder,diff,11736,8393,3343,12115531.5,15942267.5,0.0,-0.14,-,negligible,x,,,
jetty.project,historyFinder,diff,33459,22879,10580,106654588.0,135405232.0,0.0,-0.12,-,negligible,x,,,
jgit,historyFinder,diff,15990,9788,6202,38618073.5,22087102.5,0.0,0.27,+,small,,x,,
jib,historyFinder,diff,2818,1477,1341,969305.0,1011352.0,0.32,-0.02,-,negligible,x,,,
jmeter,historyFinder,diff,8176,6862,1314,5191883.5,3824784.5,0.0,0.15,+,small,,x,,
jna,historyFinder,diff,3783,2411,1372,1627817.0,1680075.0,0.41,-0.02,-,negligible,x,,,
junit4,historyFinder,diff,2721,1163,1558,1200395.0,611559.0,0.0,0.32,+,small,,x,,
junit5,historyFinder,diff,10083,4388,5695,13554538.5,11435121.5,0.0,0.08,+,negligible,x,,,
kafka,historyFinder,diff,47521,29445,18076,188169055.5,344078764.5,0.0,-0.29,-,small,,x,,
lombok,historyFinder,diff,3227,3189,38,83499.5,37682.5,0.0,0.38,+,medium,,,x,
lucene,historyFinder,diff,39282,28253,11029,133145863.5,178456473.5,0.0,-0.15,-,negligible,x,,,
mage,historyFinder,diff,77880,71948,5932,155318579.0,271476957.0,0.0,-0.27,-,small,,x,,
metrics,historyFinder,diff,2105,1188,917,477080.5,612315.5,0.0,-0.12,-,negligible,x,,,
mockito,historyFinder,diff,4578,2023,2555,2529493.0,2639272.0,0.21,-0.02,-,negligible,x,,,
mongo-java-driver,historyFinder,diff,11535,9355,2180,10206988.5,10186911.5,0.94,0.0,+,negligible,x,,,
mybatis-plus,historyFinder,diff,3478,2508,970,1432555.0,1000205.0,0.0,0.18,+,small,,x,,
nacos,historyFinder,diff,14021,7813,6208,23815056.0,24688048.0,0.06,-0.02,-,negligible,x,,,
netty,historyFinder,diff,28060,22235,5825,56958779.5,72560095.5,0.0,-0.12,-,negligible,x,,,
okhttp,historyFinder,diff,234,224,10,1374.0,866.0,0.16,0.23,+,small,,x,,
openmrs-core,historyFinder,diff,9270,4450,4820,9586772.5,11862227.5,0.0,-0.11,-,negligible,x,,,
pentaho-kettle,historyFinder,diff,38658,31749,6909,158775497.0,60578344.0,0.0,0.45,+,medium,,,x,
plantuml,historyFinder,diff,15977,14968,1009,11040699.0,4062013.0,0.0,0.46,+,medium,,,x,
pmd,historyFinder,diff,12905,10778,2127,7457057.0,15467749.0,0.0,-0.35,-,medium,,,x,
presto,historyFinder,diff,53861,42323,11538,226089553.5,262233220.5,0.0,-0.07,-,negligible,x,,,
pulsar,historyFinder,diff,26270,17790,8480,66912831.0,83946369.0,0.0,-0.11,-,negligible,x,,,
redisson,historyFinder,diff,24822,20852,3970,34865153.5,47917286.5,0.0,-0.16,-,small,,x,,
rocketmq,historyFinder,diff,12901,9846,3055,16532517.5,13547012.5,0.0,0.1,+,negligible,x,,,
seatunnel,historyFinder,diff,16513,13594,2919,22311354.5,17369531.5,0.0,0.12,+,negligible,x,,,
shardingsphere,historyFinder,diff,21777,12855,8922,60528371.0,54163939.0,0.0,0.06,+,negligible,x,,,
shardingsphere-elasticjob,historyFinder,diff,1369,677,692,147325.5,321158.5,0.0,-0.37,-,medium,,,x,
shenyu,historyFinder,diff,10966,7721,3245,12858003.0,12196642.0,0.02,0.03,+,negligible,x,,,
skywalking,historyFinder,diff,6610,5959,651,1527384.0,2351925.0,0.0,-0.21,-,small,,x,,
solr,historyFinder,diff,26508,19461,7047,57800714.0,79340953.0,0.0,-0.16,-,small,,x,,
sonarqube,historyFinder,diff,39500,20757,18743,136630509.0,252417942.0,0.0,-0.3,-,small,,x,,
spring-boot,historyFinder,diff,31855,16119,15736,101795757.5,151852826.5,0.0,-0.2,-,small,,x,,
spring-cloud-alibaba,historyFinder,diff,1172,1001,171,81656.5,89514.5,0.3,-0.05,-,negligible,x,,,
