project,ref,stars,forks,watchers,contributors,commits,created_at,updated_at,url,created_hash,updated_hash,branch
checkstyle,chowdhury#grund,8839,3971,222,378,16025,2001-06-22T13:15:09+00:00,2026-01-28T02:56:31+00:00,https://github.com/checkstyle/checkstyle,5f53a2a380e038e791af244b42f245b813dbc379,1d66837cd4be945795d8936f4d84cc6ff43e2274,master
commons-io,chowdhury#grund,1061,712,83,117,5994,2002-01-25T19:06:14+00:00,2026-01-26T23:02:59+00:00,https://github.com/apache/commons-io,9423d7dc927d7d44980b08b59b2a127f8f26ae99,2eb4ff6a65563254689ab6b49f4124aa00bd7391,master
commons-lang,chowdhury#grund,2918,1875,166,249,9247,2002-07-19T03:35:56+00:00,2026-01-28T02:47:36+00:00,https://github.com/apache/commons-lang,750a21e86441b247d85c95e59bf17e596a69d626,7bcb03a49923bc12f7e3f2c04912d0925f178978,master
elasticsearch,chowdhury#grund,75981,25782,2636,349,93367,2010-02-08T13:22:27+00:00,2026-01-28T15:44:19+00:00,https://github.com/elastic/elasticsearch,ec72ca8b7a115f9b2eea3c76c518062b99a1d015,ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994,main
flink,chowdhury#grund,25747,13855,924,285,37447,2010-12-15T16:02:01+00:00,2026-01-28T14:48:11+00:00,https://github.com/apache/flink,3b88e30924268799c96317fe1bf9f5b9c6bf6f80,d141ad7ab86dcddc5937dce52f1657bae6ded2ed,master
hadoop,chowdhury#grund,15457,9195,966,305,28096,2009-05-19T04:20:40+00:00,2026-01-27T15:07:04+00:00,https://github.com/apache/hadoop,5128a9a453d64bfe1ed978cf9ffed27985eeef36,c6e716bf5bc8958a1f5fc63d1b2844a2f8f118be,trunk
hibernate-orm,chowdhury#grund,6431,3719,298,369,23194,2007-06-29T19:17:02+00:00,2026-01-27T20:13:02+00:00,https://github.com/hibernate/hibernate-orm,41e94b3cf8192f0f3b4d2948f26760ac412745a0,64ad80559533e23587982e460f6eb8a87c14a7e1,main
hibernate-search,chowdhury#grund,531,246,29,62,16198,2007-08-15T23:56:35+00:00,2026-01-27T08:01:18+00:00,https://github.com/hibernate/hibernate-search,fced424eefdd628fc096ccea5689dcff1cbcc78a,b83992727a0e950119b2be98380246de7bf8160d,main
intellij-community,chowdhury#grund,19612,5673,536,280,502186,2004-11-05T17:15:51+00:00,2026-01-21T13:36:02+00:00,https://github.com/JetBrains/intellij-community,3dbff843ac8df3aa167ddf0a52f5869086daa45a,1e05f4447723efe125034ffad6a3764387893163,master
javaparser,chowdhury#grund,6033,1225,139,216,9979,2011-10-30T13:35:35+00:00,2026-01-28T13:29:06+00:00,https://github.com/javaparser/javaparser,7b2741cfb627157580719dd43c46b716bde4267e,3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e,master
jetty.project,chowdhury#grund,4053,1987,258,222,32125,2009-03-16T20:23:39+00:00,2026-01-27T17:59:20+00:00,https://github.com/eclipse/jetty.project,bc1e0bd10201d8a14f20a81e3b93076af6408fe4,d94be9b4862f7990276522d79a463f5fc4427e2f,jetty-12.1.x
jgit,chowdhury#grund,345,88,12,244,11077,2009-09-29T23:47:03+00:00,2026-01-28T16:09:03+00:00,https://github.com/eclipse-jgit/jgit,1a6964c8274c50f0253db75f010d78ef0e739343,1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7,master
junit4,chowdhury#grund,8530,3283,570,145,2518,2000-12-03T14:36:14+00:00,2025-11-26T13:17:18+00:00,https://github.com/junit-team/junit4,b6a0693454ac8ded32b3a1ea7c859c5a840169dc,71c33ce555230d9dfb6cab5e133e22a4cc95cdff,main
junit5,chowdhury#grund,6956,1648,265,249,10487,2015-06-04T13:33:07+00:00,2026-01-28T17:29:59+00:00,https://github.com/junit-team/junit5,92c14e9cec7862254d06019043d081d4e8c64789,09dd24418b02bf37557fb6dfe7eb76bc3bae68d5,main
lucene,chowdhury#grund,3318,1278,90,558,38850,2001-09-11T21:44:36+00:00,2026-01-29T21:18:18+00:00,https://github.com/apache/lucene,a0e7ee9d0d12370e8d2b5ae0a23b6e687e018d85,a06c51e41bc14ae0d7786cf78388b691e0dfb08b,main
mockito,chowdhury#grund,15408,2656,413,303,6321,2007-11-15T10:29:55+00:00,2026-01-05T18:08:55+00:00,https://github.com/mockito/mockito,7cf6470d88491fe472e28493b50eba8a6fbf0433,d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690,main
pmd,chowdhury#grund,5300,1549,137,310,30869,2002-06-21T20:12:46+00:00,2026-01-23T16:08:26+00:00,https://github.com/pmd/pmd,f2138120f1d199906541da8948e4303c00ccf1ef,38c3567c01f9656c67d64496e1722866b1f6a8fb,main
solr,chowdhury#grund,1559,810,52,526,38711,2001-09-11T21:44:36+00:00,2026-01-29T16:54:07+00:00,https://github.com/apache/solr,a0e7ee9d0d12370e8d2b5ae0a23b6e687e018d85,640428af236008d1d3050278c4fbb6ff15d53ad6,main
spring-boot,chowdhury#grund,79791,41839,3323,358,59538,2012-10-21T17:53:52+00:00,2026-01-28T14:04:59+00:00,https://github.com/spring-projects/spring-boot,80b151e2b37a66a8fe7eb2d5bac2f7aa766d4ead,f8f1da605e936a62d1d3028e222d7e9f14f742cd,main
spring-framework,chowdhury#grund,59561,38915,3297,358,34460,2008-07-10T22:00:24+00:00,2026-01-28T17:08:06+00:00,https://github.com/spring-projects/spring-framework,8119659fb1e4ae6fabe8897c42ba7629fda07b21,16f4b23c328500353194dfeb59e7a68550564ca8,main
