project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
checkstyle,testConfigureNoSuchAttribute2,configure,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/test/java/com/puppycrawl/tools/checkstyle/AbstractAutomaticBeanTest.java#L65,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/main/java/com/puppycrawl/tools/checkstyle/AbstractAutomaticBean.java#L194,com.puppycrawl.tools.checkstyle.AbstractAutomaticBeanTest.testConfigureNoSuchAttribute2(),com.puppycrawl.tools.checkstyle.AbstractAutomaticBeanTest.testConfigureNoSuchAttribute2(),com.puppycrawl.tools.checkstyle.AbstractAutomaticBeanTest.testConfigureNoSuchAttribute2(),com.puppycrawl.tools.checkstyle.AbstractAutomaticBean.configure(com.puppycrawl.tools.checkstyle.api.Configuration),com.puppycrawl.tools.checkstyle.AbstractAutomaticBean.configure(Configuration),com.puppycrawl.tools.checkstyle.AbstractAutomaticBean.configure(Configuration),#test-code #test-case-method,#main-code,1,1,1,,Check why configure method resolved to AbstractAutomaticBean.java and why no configure method in DefaultConfiguration.java.
checkstyle,testConfigureNoSuchAttribute2,addProperty,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/test/java/com/puppycrawl/tools/checkstyle/AbstractAutomaticBeanTest.java#L65,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/main/java/com/puppycrawl/tools/checkstyle/DefaultConfiguration.java#L154,com.puppycrawl.tools.checkstyle.AbstractAutomaticBeanTest.testConfigureNoSuchAttribute2(),com.puppycrawl.tools.checkstyle.AbstractAutomaticBeanTest.testConfigureNoSuchAttribute2(),com.puppycrawl.tools.checkstyle.AbstractAutomaticBeanTest.testConfigureNoSuchAttribute2(),"com.puppycrawl.tools.checkstyle.DefaultConfiguration.addProperty(java.lang.String, java.lang.String)","com.puppycrawl.tools.checkstyle.DefaultConfiguration.addProperty(String, String)","com.puppycrawl.tools.checkstyle.DefaultConfiguration.addProperty(String, String)",#test-code #test-case-method,#main-code,1,1,0,,
checkstyle,testConfigureNoSuchAttribute2,DefaultConfiguration,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/test/java/com/puppycrawl/tools/checkstyle/AbstractAutomaticBeanTest.java#L65,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/main/java/com/puppycrawl/tools/checkstyle/DefaultConfiguration.java#L65,com.puppycrawl.tools.checkstyle.AbstractAutomaticBeanTest.testConfigureNoSuchAttribute2(),com.puppycrawl.tools.checkstyle.AbstractAutomaticBeanTest.testConfigureNoSuchAttribute2(),com.puppycrawl.tools.checkstyle.AbstractAutomaticBeanTest.testConfigureNoSuchAttribute2(),com.puppycrawl.tools.checkstyle.DefaultConfiguration.DefaultConfiguration(java.lang.String),com.puppycrawl.tools.checkstyle.DefaultConfiguration.DefaultConfiguration(String),com.puppycrawl.tools.checkstyle.DefaultConfiguration.DefaultConfiguration(String),#test-code #test-case-method,#main-code,1,1,0,,
checkstyle,testReplacePropertiesReplace,PropertiesExpander,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/test/java/com/puppycrawl/tools/checkstyle/ConfigurationLoaderTest.java#L146,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/main/java/com/puppycrawl/tools/checkstyle/PropertiesExpander.java#L45,com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.testReplacePropertiesReplace(),com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.testReplacePropertiesReplace(),com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.testReplacePropertiesReplace(),com.puppycrawl.tools.checkstyle.PropertiesExpander.PropertiesExpander(java.util.Properties),com.puppycrawl.tools.checkstyle.PropertiesExpander.PropertiesExpander(Properties),com.puppycrawl.tools.checkstyle.PropertiesExpander.PropertiesExpander(Properties),#test-code #test-case-method,#main-code,1,1,0,,
checkstyle,testReplacePropertiesReplace,initProperties,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/test/java/com/puppycrawl/tools/checkstyle/ConfigurationLoaderTest.java#L146,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/test/java/com/puppycrawl/tools/checkstyle/ConfigurationLoaderTest.java#L201,com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.testReplacePropertiesReplace(),com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.testReplacePropertiesReplace(),com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.testReplacePropertiesReplace(),com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.initProperties(),com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.initProperties(),com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.initProperties(),#test-code #test-case-method,#test-code #test-helper-method,1,1,0,,
checkstyle,testReplacePropertiesReplace,getInternalLoaderInstance,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/test/java/com/puppycrawl/tools/checkstyle/ConfigurationLoaderTest.java#L146,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/test/java/com/puppycrawl/tools/checkstyle/ConfigurationLoaderTest.java#L66,com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.testReplacePropertiesReplace(),com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.testReplacePropertiesReplace(),com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.testReplacePropertiesReplace(),com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.getInternalLoaderInstance(com.puppycrawl.tools.checkstyle.PropertyResolver),com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.getInternalLoaderInstance(PropertyResolver),com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.getInternalLoaderInstance(PropertyResolver),#test-code #test-case-method,#test-code #test-helper-method,1,1,0,,
checkstyle,testReplacePropertiesReplace,invokeReplacePropertiesMethod,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/test/java/com/puppycrawl/tools/checkstyle/ConfigurationLoaderTest.java#L146,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/test/java/com/puppycrawl/tools/checkstyle/ConfigurationLoaderTest.java#L75,com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.testReplacePropertiesReplace(),com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.testReplacePropertiesReplace(),com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.testReplacePropertiesReplace(),"com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.invokeReplacePropertiesMethod(java.lang.Object, java.lang.String, java.lang.String)","com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.invokeReplacePropertiesMethod(Object, String, String)","com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest.invokeReplacePropertiesMethod(Object, String, String)",#test-code #test-case-method,#test-code #test-helper-method,1,1,0,,
checkstyle,test,getFileName,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/test/java/com/puppycrawl/tools/checkstyle/api/AuditEventTest.java#L30,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/main/java/com/puppycrawl/tools/checkstyle/api/AuditEvent.java#L100,com.puppycrawl.tools.checkstyle.api.AuditEventTest.test(),com.puppycrawl.tools.checkstyle.api.AuditEventTest.test(),com.puppycrawl.tools.checkstyle.api.AuditEventTest.test(),com.puppycrawl.tools.checkstyle.api.AuditEvent.getFileName(),com.puppycrawl.tools.checkstyle.api.AuditEvent.getFileName(),com.puppycrawl.tools.checkstyle.api.AuditEvent.getFileName(),#test-code #test-case-method,#main-code,1,1,0,,
checkstyle,test,getSeverityLevel,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/test/java/com/puppycrawl/tools/checkstyle/api/AuditEventTest.java#L30,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/main/java/com/puppycrawl/tools/checkstyle/api/AuditEvent.java#L137,com.puppycrawl.tools.checkstyle.api.AuditEventTest.test(),com.puppycrawl.tools.checkstyle.api.AuditEventTest.test(),com.puppycrawl.tools.checkstyle.api.AuditEventTest.test(),com.puppycrawl.tools.checkstyle.api.AuditEvent.getSeverityLevel(),com.puppycrawl.tools.checkstyle.api.AuditEvent.getSeverityLevel(),com.puppycrawl.tools.checkstyle.api.AuditEvent.getSeverityLevel(),#test-code #test-case-method,#main-code,1,1,0,,
checkstyle,test,getViolation,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/test/java/com/puppycrawl/tools/checkstyle/api/AuditEventTest.java#L30,https://github.com/checkstyle/checkstyle/blob/1d66837cd4be945795d8936f4d84cc6ff43e2274/src/main/java/com/puppycrawl/tools/checkstyle/api/AuditEvent.java#L169,com.puppycrawl.tools.checkstyle.api.AuditEventTest.test(),com.puppycrawl.tools.checkstyle.api.AuditEventTest.test(),com.puppycrawl.tools.checkstyle.api.AuditEventTest.test(),com.puppycrawl.tools.checkstyle.api.AuditEvent.getViolation(),com.puppycrawl.tools.checkstyle.api.AuditEvent.getViolation(),com.puppycrawl.tools.checkstyle.api.AuditEvent.getViolation(),#test-code #test-case-method,#main-code,1,1,0,,
