project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
commons-io,testDeleteDirWithASymbolicLinkDir2,deleteDirectory,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/test/java/org/apache/commons/io/AbstractFileUtilsDeleteDirectoryTest.java#L45,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/main/java/org/apache/commons/io/FileUtils.java#L1257,org.apache.commons.io.AbstractFileUtilsDeleteDirectoryTest.testDeleteDirWithASymbolicLinkDir2(),org.apache.commons.io.AbstractFileUtilsDeleteDirectoryTest.testDeleteDirWithASymbolicLinkDir2(),org.apache.commons.io.AbstractFileUtilsDeleteDirectoryTest.testDeleteDirWithASymbolicLinkDir2(),org.apache.commons.io.FileUtils.deleteDirectory(java.io.File),org.apache.commons.io.FileUtils.deleteDirectory(File),org.apache.commons.io.FileUtils.deleteDirectory(File),#test-code #test-case-method,#main-code,1,1,1,,
commons-io,testDeleteDirWithASymbolicLinkDir2,touch,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/test/java/org/apache/commons/io/AbstractFileUtilsDeleteDirectoryTest.java#L45,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/main/java/org/apache/commons/io/FileUtils.java#L3152,org.apache.commons.io.AbstractFileUtilsDeleteDirectoryTest.testDeleteDirWithASymbolicLinkDir2(),org.apache.commons.io.AbstractFileUtilsDeleteDirectoryTest.testDeleteDirWithASymbolicLinkDir2(),org.apache.commons.io.AbstractFileUtilsDeleteDirectoryTest.testDeleteDirWithASymbolicLinkDir2(),org.apache.commons.io.FileUtils.touch(java.io.File),org.apache.commons.io.FileUtils.touch(File),org.apache.commons.io.FileUtils.touch(File),#test-code #test-case-method,#main-code,1,1,0,,
commons-io,testGetFreeSpaceKb,freeSpaceKb,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/test/java/org/apache/commons/io/FileSystemUtilsTest.java#L59,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/main/java/org/apache/commons/io/FileSystemUtils.java#L85,org.apache.commons.io.FileSystemUtilsTest.testGetFreeSpaceKb(),org.apache.commons.io.FileSystemUtilsTest.testGetFreeSpaceKb(),org.apache.commons.io.FileSystemUtilsTest.testGetFreeSpaceKb(),org.apache.commons.io.FileSystemUtils.freeSpaceKb(),org.apache.commons.io.FileSystemUtils.freeSpaceKb(),org.apache.commons.io.FileSystemUtils.freeSpaceKb(),#test-code #test-case-method,#main-code,1,1,1,,
commons-io,testToFile1,toFile,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/test/java/org/apache/commons/io/FileUtilsTest.java#L3030,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/main/java/org/apache/commons/io/FileUtils.java#L3064,org.apache.commons.io.FileUtilsTest.testToFile1(),org.apache.commons.io.FileUtilsTest.testToFile1(),org.apache.commons.io.FileUtilsTest.testToFile1(),org.apache.commons.io.FileUtils.toFile(java.net.URL),org.apache.commons.io.FileUtils.toFile(URL),org.apache.commons.io.FileUtils.toFile(URL),#test-code #test-case-method,#main-code,1,1,1,,
commons-io,testToFileUtf8,toFile,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/test/java/org/apache/commons/io/FileUtilsTest.java#L3116,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/main/java/org/apache/commons/io/FileUtils.java#L3064,org.apache.commons.io.FileUtilsTest.testToFileUtf8(),org.apache.commons.io.FileUtilsTest.testToFileUtf8(),org.apache.commons.io.FileUtilsTest.testToFileUtf8(),org.apache.commons.io.FileUtils.toFile(java.net.URL),org.apache.commons.io.FileUtils.toFile(URL),org.apache.commons.io.FileUtils.toFile(URL),#test-code #test-case-method,#main-code,1,1,1,,
commons-io,testWriteLines_3arg_nullSeparator,forceDelete,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/test/java/org/apache/commons/io/FileUtilsTest.java#L3299,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/main/java/org/apache/commons/io/FileUtils.java#L1403,org.apache.commons.io.FileUtilsTest.testWriteLines_3arg_nullSeparator(),org.apache.commons.io.FileUtilsTest.testWriteLines_3arg_nullSeparator(),org.apache.commons.io.FileUtilsTest.testWriteLines_3arg_nullSeparator(),org.apache.commons.io.FileUtils.forceDelete(java.io.File),org.apache.commons.io.FileUtils.forceDelete(File),org.apache.commons.io.FileUtils.forceDelete(File),#test-code #test-case-method,#main-code,2,1,0,,
commons-io,testWriteLines_3arg_nullSeparator,readFileToString,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/test/java/org/apache/commons/io/FileUtilsTest.java#L3299,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/main/java/org/apache/commons/io/FileUtils.java#L2802,org.apache.commons.io.FileUtilsTest.testWriteLines_3arg_nullSeparator(),org.apache.commons.io.FileUtilsTest.testWriteLines_3arg_nullSeparator(),org.apache.commons.io.FileUtilsTest.testWriteLines_3arg_nullSeparator(),"org.apache.commons.io.FileUtils.readFileToString(java.io.File, java.lang.String)","org.apache.commons.io.FileUtils.readFileToString(File, String)","org.apache.commons.io.FileUtils.readFileToString(File, String)",#test-code #test-case-method,#main-code,1,1,0,,
commons-io,testWriteLines_3arg_nullSeparator,writeLines,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/test/java/org/apache/commons/io/FileUtilsTest.java#L3299,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/main/java/org/apache/commons/io/FileUtils.java#L3441,org.apache.commons.io.FileUtilsTest.testWriteLines_3arg_nullSeparator(),org.apache.commons.io.FileUtilsTest.testWriteLines_3arg_nullSeparator(),org.apache.commons.io.FileUtilsTest.testWriteLines_3arg_nullSeparator(),"org.apache.commons.io.FileUtils.writeLines(java.io.File, java.lang.String, java.util.Collection<?>)","org.apache.commons.io.FileUtils.writeLines(File, String, Collection)","org.apache.commons.io.FileUtils.writeLines(File, String, Collection)",#test-code #test-case-method,#main-code,1,1,1,,
commons-io,testWriteLines_3arg_nullSeparator,newFile,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/test/java/org/apache/commons/io/FileUtilsTest.java#L3299,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/test/java/org/apache/commons/io/test/TestUtils.java#L229,org.apache.commons.io.FileUtilsTest.testWriteLines_3arg_nullSeparator(),org.apache.commons.io.FileUtilsTest.testWriteLines_3arg_nullSeparator(),org.apache.commons.io.FileUtilsTest.testWriteLines_3arg_nullSeparator(),"org.apache.commons.io.test.TestUtils.newFile(java.io.File, java.lang.String)","org.apache.commons.io.test.TestUtils.newFile(File, String)","org.apache.commons.io.test.TestUtils.newFile(File, String)",#test-code #test-case-method,#test-code #test-helper-method,1,1,0,,
commons-io,test_isCaseSensitive_static,isCaseSensitive,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/test/java/org/apache/commons/io/IOCaseTest.java#L355,https://github.com/apache/commons-io/blob/2eb4ff6a65563254689ab6b49f4124aa00bd7391/src/main/java/org/apache/commons/io/IOCase.java#L91,org.apache.commons.io.IOCaseTest.test_isCaseSensitive_static(),org.apache.commons.io.IOCaseTest.test_isCaseSensitive_static(),org.apache.commons.io.IOCaseTest.test_isCaseSensitive_static(),org.apache.commons.io.IOCase.isCaseSensitive(org.apache.commons.io.IOCase),org.apache.commons.io.IOCase.isCaseSensitive(IOCase),org.apache.commons.io.IOCase.isCaseSensitive(IOCase),#test-code #test-case-method,#main-code,1,1,1,,
