project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
commons-lang,testSortShortArray,sort,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/test/java/org/apache/commons/lang3/ArraySorterTest.java#L105,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/main/java/org/apache/commons/lang3/ArraySorter.java#L122,org.apache.commons.lang3.ArraySorterTest.testSortShortArray(),org.apache.commons.lang3.ArraySorterTest.testSortShortArray(),org.apache.commons.lang3.ArraySorterTest.testSortShortArray(),org.apache.commons.lang3.ArraySorter.sort(short[]),org.apache.commons.lang3.ArraySorter.sort(short[]),org.apache.commons.lang3.ArraySorter.sort(short[]),#test-code #test-unit #test-method,#production-code,1,1,1,,
commons-lang,testSortShortArray,sort,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/test/java/org/apache/commons/lang3/ArraySorterTest.java#L105,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/main/java/org/apache/commons/lang3/ArraySorter.java#L38,org.apache.commons.lang3.ArraySorterTest.testSortShortArray(),org.apache.commons.lang3.ArraySorterTest.testSortShortArray(),org.apache.commons.lang3.ArraySorterTest.testSortShortArray(),org.apache.commons.lang3.ArraySorter.sort(byte[]),org.apache.commons.lang3.ArraySorter.sort(byte[]),org.apache.commons.lang3.ArraySorter.sort(byte[]),#test-code #test-unit #test-method,#production-code,1,1,1,,
commons-lang,testSortShortArray,clone,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/test/java/org/apache/commons/lang3/ArraySorterTest.java#L105,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/main/java/org/apache/commons/lang3/text/StrTokenizer.java#L457,org.apache.commons.lang3.ArraySorterTest.testSortShortArray(),org.apache.commons.lang3.ArraySorterTest.testSortShortArray(),org.apache.commons.lang3.ArraySorterTest.testSortShortArray(),org.apache.commons.lang3.text.StrTokenizer.clone(),org.apache.commons.lang3.text.StrTokenizer.clone(),org.apache.commons.lang3.text.StrTokenizer.clone(),#test-code #test-unit #test-method,#production-code,1,1,0,,
commons-lang,testSortShortArray,assertArrayEquals,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/test/java/org/apache/commons/lang3/ArraySorterTest.java#L105,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/test/java/org/apache/commons/lang3/EnumUtilsTest.java#L51,org.apache.commons.lang3.ArraySorterTest.testSortShortArray(),org.apache.commons.lang3.ArraySorterTest.testSortShortArray(),org.apache.commons.lang3.ArraySorterTest.testSortShortArray(),"org.apache.commons.lang3.EnumUtilsTest.assertArrayEquals(long[], long...)","org.apache.commons.lang3.EnumUtilsTest.assertArrayEquals(long[], long[])","org.apache.commons.lang3.EnumUtilsTest.assertArrayEquals(long[], long[])",#test-code #test-unit #test-method,#test-code #test-unit #test-utility,1,1,0,,
commons-lang,testRemoveElementLongArray,removeElement,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveTest.java#L605,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/main/java/org/apache/commons/lang3/ArrayUtils.java#L6151,org.apache.commons.lang3.ArrayUtilsRemoveTest.testRemoveElementLongArray(),org.apache.commons.lang3.ArrayUtilsRemoveTest.testRemoveElementLongArray(),org.apache.commons.lang3.ArrayUtilsRemoveTest.testRemoveElementLongArray(),"org.apache.commons.lang3.ArrayUtils.removeElement(long[], long)","org.apache.commons.lang3.ArrayUtils.removeElement(long[], long)","org.apache.commons.lang3.ArrayUtils.removeElement(long[], long)",#test-code #test-unit #test-method,#production-code,1,1,1,,
commons-lang,testRemoveElementLongArray,assertArrayEquals,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/test/java/org/apache/commons/lang3/ArrayUtilsRemoveTest.java#L605,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/test/java/org/apache/commons/lang3/EnumUtilsTest.java#L51,org.apache.commons.lang3.ArrayUtilsRemoveTest.testRemoveElementLongArray(),org.apache.commons.lang3.ArrayUtilsRemoveTest.testRemoveElementLongArray(),org.apache.commons.lang3.ArrayUtilsRemoveTest.testRemoveElementLongArray(),"org.apache.commons.lang3.EnumUtilsTest.assertArrayEquals(long[], long...)","org.apache.commons.lang3.EnumUtilsTest.assertArrayEquals(long[], long[])","org.apache.commons.lang3.EnumUtilsTest.assertArrayEquals(long[], long[])",#test-code #test-unit #test-method,#test-code #test-unit #test-utility,1,1,0,,
commons-lang,testReverseIntRange,reverse,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java#L2666,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/main/java/org/apache/commons/lang3/ArrayUtils.java#L6906,org.apache.commons.lang3.ArrayUtilsTest.testReverseIntRange(),org.apache.commons.lang3.ArrayUtilsTest.testReverseIntRange(),org.apache.commons.lang3.ArrayUtilsTest.testReverseIntRange(),"org.apache.commons.lang3.ArrayUtils.reverse(int[], int, int)","org.apache.commons.lang3.ArrayUtils.reverse(int[], int, int)","org.apache.commons.lang3.ArrayUtils.reverse(int[], int, int)",#test-code #test-unit #test-method,#production-code,1,1,1,,
commons-lang,testSetBoolean,clear,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/test/java/org/apache/commons/lang3/BitFieldTest.java#L186,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/main/java/org/apache/commons/lang3/BitField.java#L106,org.apache.commons.lang3.BitFieldTest.testSetBoolean(),org.apache.commons.lang3.BitFieldTest.testSetBoolean(),org.apache.commons.lang3.BitFieldTest.testSetBoolean(),org.apache.commons.lang3.BitField.clear(int),org.apache.commons.lang3.BitField.clear(int),org.apache.commons.lang3.BitField.clear(int),#test-code #test-unit #test-method,#production-code,1,1,0,,
commons-lang,testSetBoolean,set,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/test/java/org/apache/commons/lang3/BitFieldTest.java#L186,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/main/java/org/apache/commons/lang3/BitField.java#L280,org.apache.commons.lang3.BitFieldTest.testSetBoolean(),org.apache.commons.lang3.BitFieldTest.testSetBoolean(),org.apache.commons.lang3.BitFieldTest.testSetBoolean(),org.apache.commons.lang3.BitField.set(int),org.apache.commons.lang3.BitField.set(int),org.apache.commons.lang3.BitField.set(int),#test-code #test-unit #test-method,#production-code,1,1,0,,
commons-lang,testSetBoolean,setBoolean,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/test/java/org/apache/commons/lang3/BitFieldTest.java#L186,https://github.com/apache/commons-lang/blob/7bcb03a49923bc12f7e3f2c04912d0925f178978/src/main/java/org/apache/commons/lang3/BitField.java#L302,org.apache.commons.lang3.BitFieldTest.testSetBoolean(),org.apache.commons.lang3.BitFieldTest.testSetBoolean(),org.apache.commons.lang3.BitFieldTest.testSetBoolean(),"org.apache.commons.lang3.BitField.setBoolean(int, boolean)","org.apache.commons.lang3.BitField.setBoolean(int, boolean)","org.apache.commons.lang3.BitField.setBoolean(int, boolean)",#test-code #test-unit #test-method,#production-code,1,1,1,,
