project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
elasticsearch,testDefConditionalPostfixes,compile,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/modules/lang-painless/src/test/java/org/elasticsearch/painless/PostfixTests.java#L41,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/modules/lang-painless/src/main/java/org/elasticsearch/painless/PainlessScriptEngine.java#L110,org.elasticsearch.painless.PostfixTests.testDefConditionalPostfixes(),org.elasticsearch.painless.PostfixTests.testDefConditionalPostfixes(),org.elasticsearch.painless.PostfixTests.testDefConditionalPostfixes(),"org.elasticsearch.painless.PainlessScriptEngine.compile(java.lang.String, java.lang.String, org.elasticsearch.script.ScriptContext<T>, java.util.Map<java.lang.String, java.lang.String>)","org.elasticsearch.painless.PainlessScriptEngine.compile(String, String, ScriptContext, Map)","org.elasticsearch.painless.PainlessScriptEngine.compile(String, String, ScriptContext, Map)",#test-code #test-helper-method,#main-code,4,1,0,,
elasticsearch,testDefConditionalPostfixes,exec,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/modules/lang-painless/src/test/java/org/elasticsearch/painless/PostfixTests.java#L41,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/modules/lang-painless/src/test/java/org/elasticsearch/painless/EmitTests.java#L32,org.elasticsearch.painless.PostfixTests.testDefConditionalPostfixes(),org.elasticsearch.painless.PostfixTests.testDefConditionalPostfixes(),org.elasticsearch.painless.PostfixTests.testDefConditionalPostfixes(),org.elasticsearch.painless.EmitTests.exec(java.lang.String),org.elasticsearch.painless.EmitTests.exec(String),org.elasticsearch.painless.EmitTests.exec(String),#test-code #test-helper-method,#test-code #test-helper-method,1,0,0,,
elasticsearch,testDefConditionalPostfixes,assertEquals,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/modules/lang-painless/src/test/java/org/elasticsearch/painless/PostfixTests.java#L41,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/modules/legacy-geo/src/test/java/org/elasticsearch/legacygeo/test/ElasticsearchGeoAssertions.java#L107,org.elasticsearch.painless.PostfixTests.testDefConditionalPostfixes(),org.elasticsearch.painless.PostfixTests.testDefConditionalPostfixes(),org.elasticsearch.painless.PostfixTests.testDefConditionalPostfixes(),"org.elasticsearch.legacygeo.test.ElasticsearchGeoAssertions.assertEquals(org.locationtech.jts.geom.Coordinate, org.locationtech.jts.geom.Coordinate)","org.elasticsearch.legacygeo.test.ElasticsearchGeoAssertions.assertEquals(Coordinate, Coordinate)","org.elasticsearch.legacygeo.test.ElasticsearchGeoAssertions.assertEquals(Coordinate, Coordinate)",#test-code #test-helper-method,#test-code #test-helper-method,1,0,0,,
elasticsearch,testLoopbackInWhitelistRemote,add,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/modules/reindex/src/test/java/org/elasticsearch/reindex/ReindexFromRemoteWhitelistTests.java#L98,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/benchmarks/src/main/java/org/elasticsearch/benchmark/tdigest/TDigestBench.java#L122,org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),org.elasticsearch.benchmark.tdigest.TDigestBench.add(org.elasticsearch.benchmark.tdigest.TDigestBench.ThreadState),org.elasticsearch.benchmark.tdigest.TDigestBench.add(ThreadState),org.elasticsearch.benchmark.tdigest.TDigestBench.add(ThreadState),#test-code #test-helper-method,#main-code,1,0,0,,
elasticsearch,testLoopbackInWhitelistRemote,checkRemoteWhitelist,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/modules/reindex/src/test/java/org/elasticsearch/reindex/ReindexFromRemoteWhitelistTests.java#L98,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/modules/reindex/src/main/java/org/elasticsearch/reindex/ReindexValidator.java#L82,org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),"org.elasticsearch.reindex.ReindexValidator.checkRemoteWhitelist(org.apache.lucene.util.automaton.CharacterRunAutomaton, org.elasticsearch.index.reindex.RemoteInfo)","org.elasticsearch.reindex.ReindexValidator.checkRemoteWhitelist(CharacterRunAutomaton, RemoteInfo)","org.elasticsearch.reindex.ReindexValidator.checkRemoteWhitelist(CharacterRunAutomaton, RemoteInfo)",#test-code #test-helper-method,#main-code,1,1,1,,
elasticsearch,testLoopbackInWhitelistRemote,buildRemoteWhitelist,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/modules/reindex/src/test/java/org/elasticsearch/reindex/ReindexFromRemoteWhitelistTests.java#L98,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/modules/reindex/src/main/java/org/elasticsearch/reindex/ReindexValidator.java#L98,org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),org.elasticsearch.reindex.ReindexValidator.buildRemoteWhitelist(java.util.List<java.lang.String>),org.elasticsearch.reindex.ReindexValidator.buildRemoteWhitelist(List),org.elasticsearch.reindex.ReindexValidator.buildRemoteWhitelist(List),#test-code #test-helper-method,#main-code,1,1,0,,
elasticsearch,testLoopbackInWhitelistRemote,randomWhitelist,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/modules/reindex/src/test/java/org/elasticsearch/reindex/ReindexFromRemoteWhitelistTests.java#L98,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/modules/reindex/src/test/java/org/elasticsearch/reindex/ReindexFromRemoteWhitelistTests.java#L120,org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.randomWhitelist(),org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.randomWhitelist(),org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.randomWhitelist(),#test-code #test-helper-method,#test-code #test-helper-method,1,1,0,,
elasticsearch,testLoopbackInWhitelistRemote,newRemoteInfo,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/modules/reindex/src/test/java/org/elasticsearch/reindex/ReindexFromRemoteWhitelistTests.java#L98,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/modules/reindex/src/test/java/org/elasticsearch/reindex/ReindexFromRemoteWhitelistTests.java#L45,org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),"org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.newRemoteInfo(java.lang.String, int)","org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.newRemoteInfo(String, int)","org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.newRemoteInfo(String, int)",#test-code #test-helper-method,#test-code #test-helper-method,1,1,0,,
elasticsearch,testLoopbackInWhitelistRemote,between,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/modules/reindex/src/test/java/org/elasticsearch/reindex/ReindexFromRemoteWhitelistTests.java#L98,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/server/src/main/java/org/elasticsearch/common/VersionId.java#L37,org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),"org.elasticsearch.common.VersionId.between(T, T)","org.elasticsearch.common.VersionId.between(T, T)","org.elasticsearch.common.VersionId.between(T, T)",#test-code #test-helper-method,#main-code,2,0,0,,
elasticsearch,testLoopbackInWhitelistRemote,RemoteInfo,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/modules/reindex/src/test/java/org/elasticsearch/reindex/ReindexFromRemoteWhitelistTests.java#L98,https://github.com/elastic/elasticsearch/blob/ab2ec85bdeef6727cd1b13f58bd314e8c0cd7994/server/src/main/java/org/elasticsearch/index/reindex/RemoteInfo.java#L70,org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),org.elasticsearch.reindex.ReindexFromRemoteWhitelistTests.testLoopbackInWhitelistRemote(),"org.elasticsearch.index.reindex.RemoteInfo.RemoteInfo(java.lang.String, java.lang.String, int, java.lang.String, org.elasticsearch.common.bytes.BytesReference, java.lang.String, org.elasticsearch.common.settings.SecureString, java.util.Map<java.lang.String, java.lang.String>, org.elasticsearch.core.TimeValue, org.elasticsearch.core.TimeValue)","org.elasticsearch.index.reindex.RemoteInfo.RemoteInfo(String, String, int, String, BytesReference, String, SecureString, Map, TimeValue, TimeValue)","org.elasticsearch.index.reindex.RemoteInfo.RemoteInfo(String, String, int, String, BytesReference, String, SecureString, Map, TimeValue, TimeValue)",#test-code #test-helper-method,#main-code,2,0,0,,
