project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
flink,testWithJobClassAndMultipleEntryClassesOnUserClasspath,getPackagedProgram,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-clients/src/test/java/org/apache/flink/client/program/DefaultPackagedProgramRetrieverITCase.java#L369,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-clients/src/main/java/org/apache/flink/client/program/DefaultPackagedProgramRetriever.java#L214,org.apache.flink.client.program.DefaultPackagedProgramRetrieverITCase.testWithJobClassAndMultipleEntryClassesOnUserClasspath(),org.apache.flink.client.program.DefaultPackagedProgramRetrieverITCase.testWithJobClassAndMultipleEntryClassesOnUserClasspath(),org.apache.flink.client.program.DefaultPackagedProgramRetrieverITCase.testWithJobClassAndMultipleEntryClassesOnUserClasspath(),org.apache.flink.client.program.DefaultPackagedProgramRetriever.getPackagedProgram(),org.apache.flink.client.program.DefaultPackagedProgramRetriever.getPackagedProgram(),org.apache.flink.client.program.DefaultPackagedProgramRetriever.getPackagedProgram(),#test-code #test-case-method,#main-code,1,1,1,,
flink,testWithJobClassAndMultipleEntryClassesOnUserClasspath,create,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-clients/src/test/java/org/apache/flink/client/program/DefaultPackagedProgramRetrieverITCase.java#L369,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-clients/src/main/java/org/apache/flink/client/program/DefaultPackagedProgramRetriever.java#L67,org.apache.flink.client.program.DefaultPackagedProgramRetrieverITCase.testWithJobClassAndMultipleEntryClassesOnUserClasspath(),org.apache.flink.client.program.DefaultPackagedProgramRetrieverITCase.testWithJobClassAndMultipleEntryClassesOnUserClasspath(),org.apache.flink.client.program.DefaultPackagedProgramRetrieverITCase.testWithJobClassAndMultipleEntryClassesOnUserClasspath(),"org.apache.flink.client.program.DefaultPackagedProgramRetriever.create(java.io.File, java.lang.String, java.lang.String[], org.apache.flink.configuration.Configuration)","org.apache.flink.client.program.DefaultPackagedProgramRetriever.create(File, String, String[], Configuration)","org.apache.flink.client.program.DefaultPackagedProgramRetriever.create(File, String, String[], Configuration)",#test-code #test-case-method,#main-code,1,1,0,,
flink,testWithJobClassAndMultipleEntryClassesOnUserClasspath,getMainClassName,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-clients/src/test/java/org/apache/flink/client/program/DefaultPackagedProgramRetrieverITCase.java#L369,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-clients/src/main/java/org/apache/flink/client/program/PackagedProgram.java#L192,org.apache.flink.client.program.DefaultPackagedProgramRetrieverITCase.testWithJobClassAndMultipleEntryClassesOnUserClasspath(),org.apache.flink.client.program.DefaultPackagedProgramRetrieverITCase.testWithJobClassAndMultipleEntryClassesOnUserClasspath(),org.apache.flink.client.program.DefaultPackagedProgramRetrieverITCase.testWithJobClassAndMultipleEntryClassesOnUserClasspath(),org.apache.flink.client.program.PackagedProgram.getMainClassName(),org.apache.flink.client.program.PackagedProgram.getMainClassName(),org.apache.flink.client.program.PackagedProgram.getMainClassName(),#test-code #test-case-method,#main-code,1,1,0,,
flink,testWithJobClassAndMultipleEntryClassesOnUserClasspath,getJobClassName,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-clients/src/test/java/org/apache/flink/client/program/DefaultPackagedProgramRetrieverITCase.java#L369,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-clients/src/test/java/org/apache/flink/client/testjar/ClasspathProviderExtension.java#L195,org.apache.flink.client.program.DefaultPackagedProgramRetrieverITCase.testWithJobClassAndMultipleEntryClassesOnUserClasspath(),org.apache.flink.client.program.DefaultPackagedProgramRetrieverITCase.testWithJobClassAndMultipleEntryClassesOnUserClasspath(),org.apache.flink.client.program.DefaultPackagedProgramRetrieverITCase.testWithJobClassAndMultipleEntryClassesOnUserClasspath(),org.apache.flink.client.testjar.ClasspathProviderExtension.getJobClassName(),org.apache.flink.client.testjar.ClasspathProviderExtension.getJobClassName(),org.apache.flink.client.testjar.ClasspathProviderExtension.getJobClassName(),#test-code #test-case-method,#test-code #test-helper-method,1,1,0,,
flink,testWithJobClassAndMultipleEntryClassesOnUserClasspath,getDirectory,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-clients/src/test/java/org/apache/flink/client/program/DefaultPackagedProgramRetrieverITCase.java#L369,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-clients/src/test/java/org/apache/flink/client/testjar/ClasspathProviderExtension.java#L225,org.apache.flink.client.program.DefaultPackagedProgramRetrieverITCase.testWithJobClassAndMultipleEntryClassesOnUserClasspath(),org.apache.flink.client.program.DefaultPackagedProgramRetrieverITCase.testWithJobClassAndMultipleEntryClassesOnUserClasspath(),org.apache.flink.client.program.DefaultPackagedProgramRetrieverITCase.testWithJobClassAndMultipleEntryClassesOnUserClasspath(),org.apache.flink.client.testjar.ClasspathProviderExtension.getDirectory(),org.apache.flink.client.testjar.ClasspathProviderExtension.getDirectory(),org.apache.flink.client.testjar.ClasspathProviderExtension.getDirectory(),#test-code #test-case-method,#test-code #test-helper-method,1,1,0,,
flink,testWithJobClassAndMultipleEntryClassesOnUserClasspath,Configuration,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-clients/src/test/java/org/apache/flink/client/program/DefaultPackagedProgramRetrieverITCase.java#L369,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-core/src/main/java/org/apache/flink/configuration/Configuration.java#L84,org.apache.flink.client.program.DefaultPackagedProgramRetrieverITCase.testWithJobClassAndMultipleEntryClassesOnUserClasspath(),org.apache.flink.client.program.DefaultPackagedProgramRetrieverITCase.testWithJobClassAndMultipleEntryClassesOnUserClasspath(),org.apache.flink.client.program.DefaultPackagedProgramRetrieverITCase.testWithJobClassAndMultipleEntryClassesOnUserClasspath(),org.apache.flink.configuration.Configuration.Configuration(),org.apache.flink.configuration.Configuration.Configuration(),org.apache.flink.configuration.Configuration.Configuration(),#test-code #test-case-method,#main-code,1,1,0,,
flink,testHybridSourceWithDynamicSwitchPosition,builder,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-connectors/flink-connector-base/src/test/java/org/apache/flink/connector/base/source/hybrid/HybridSourceITCase.java#L84,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-connectors/flink-connector-base/src/main/java/org/apache/flink/connector/base/source/hybrid/HybridSource.java#L101,org.apache.flink.connector.base.source.hybrid.HybridSourceITCase.testHybridSourceWithDynamicSwitchPosition(org.apache.flink.runtime.minicluster.MiniCluster),org.apache.flink.connector.base.source.hybrid.HybridSourceITCase.testHybridSourceWithDynamicSwitchPosition(MiniCluster),org.apache.flink.connector.base.source.hybrid.HybridSourceITCase.testHybridSourceWithDynamicSwitchPosition(MiniCluster),"org.apache.flink.connector.base.source.hybrid.HybridSource.builder(org.apache.flink.api.connector.source.Source<T, ?, ?>)",org.apache.flink.connector.base.source.hybrid.HybridSource.builder(Source),org.apache.flink.connector.base.source.hybrid.HybridSource.builder(Source),#test-code #test-case-method,#main-code,2,1,0,,
flink,testHybridSourceWithDynamicSwitchPosition,addSource,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-connectors/flink-connector-base/src/test/java/org/apache/flink/connector/base/source/hybrid/HybridSourceITCase.java#L84,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-connectors/flink-connector-base/src/main/java/org/apache/flink/connector/base/source/hybrid/HybridSource.java#L238,org.apache.flink.connector.base.source.hybrid.HybridSourceITCase.testHybridSourceWithDynamicSwitchPosition(org.apache.flink.runtime.minicluster.MiniCluster),org.apache.flink.connector.base.source.hybrid.HybridSourceITCase.testHybridSourceWithDynamicSwitchPosition(MiniCluster),org.apache.flink.connector.base.source.hybrid.HybridSourceITCase.testHybridSourceWithDynamicSwitchPosition(MiniCluster),"org.apache.flink.connector.base.source.hybrid.HybridSource.HybridSourceBuilder.addSource(org.apache.flink.connector.base.source.hybrid.HybridSource.SourceFactory<T, NextSourceT, ? super EnumT>, org.apache.flink.api.connector.source.Boundedness)","org.apache.flink.connector.base.source.hybrid.HybridSource.HybridSourceBuilder.addSource(SourceFactory, Boundedness)","org.apache.flink.connector.base.source.hybrid.HybridSource.HybridSourceBuilder.addSource(SourceFactory, Boundedness)",#test-code #test-case-method,#main-code,2,1,0,,
flink,testHybridSourceWithDynamicSwitchPosition,build,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-connectors/flink-connector-base/src/test/java/org/apache/flink/connector/base/source/hybrid/HybridSourceITCase.java#L84,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-connectors/flink-connector-base/src/main/java/org/apache/flink/connector/base/source/hybrid/HybridSource.java#L253,org.apache.flink.connector.base.source.hybrid.HybridSourceITCase.testHybridSourceWithDynamicSwitchPosition(org.apache.flink.runtime.minicluster.MiniCluster),org.apache.flink.connector.base.source.hybrid.HybridSourceITCase.testHybridSourceWithDynamicSwitchPosition(MiniCluster),org.apache.flink.connector.base.source.hybrid.HybridSourceITCase.testHybridSourceWithDynamicSwitchPosition(MiniCluster),org.apache.flink.connector.base.source.hybrid.HybridSource.HybridSourceBuilder.build(),org.apache.flink.connector.base.source.hybrid.HybridSource.HybridSourceBuilder.build(),org.apache.flink.connector.base.source.hybrid.HybridSource.HybridSourceBuilder.build(),#test-code #test-case-method,#main-code,2,1,0,,
flink,testHybridSourceWithDynamicSwitchPosition,sourceWithDynamicSwitchPosition,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-connectors/flink-connector-base/src/test/java/org/apache/flink/connector/base/source/hybrid/HybridSourceITCase.java#L84,https://github.com/apache/flink/blob/d141ad7ab86dcddc5937dce52f1657bae6ded2ed/flink-connectors/flink-connector-base/src/test/java/org/apache/flink/connector/base/source/hybrid/HybridSourceITCase.java#L113,org.apache.flink.connector.base.source.hybrid.HybridSourceITCase.testHybridSourceWithDynamicSwitchPosition(org.apache.flink.runtime.minicluster.MiniCluster),org.apache.flink.connector.base.source.hybrid.HybridSourceITCase.testHybridSourceWithDynamicSwitchPosition(MiniCluster),org.apache.flink.connector.base.source.hybrid.HybridSourceITCase.testHybridSourceWithDynamicSwitchPosition(MiniCluster),org.apache.flink.connector.base.source.hybrid.HybridSourceITCase.sourceWithDynamicSwitchPosition(),org.apache.flink.connector.base.source.hybrid.HybridSourceITCase.sourceWithDynamicSwitchPosition(),org.apache.flink.connector.base.source.hybrid.HybridSourceITCase.sourceWithDynamicSwitchPosition(),#test-code #test-case-method,#test-code #test-helper-method,1,1,0,,
