project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
hibernate-orm,testIndexedCollectionOfElements,get,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/test/java/org/hibernate/orm/test/annotations/collectionelement/indexedCollection/IndexedCollectionOfElementsTest.java#L28,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/main/java/org/hibernate/Hibernate.java#L250,org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(org.hibernate.testing.orm.junit.SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),"org.hibernate.Hibernate.get(java.util.List<T>, int)","org.hibernate.Hibernate.get(List, int)","org.hibernate.Hibernate.get(List, int)",#test-code #test-case-method,#main-code,1,0,1,,
hibernate-orm,testIndexedCollectionOfElements,flush,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/test/java/org/hibernate/orm/test/annotations/collectionelement/indexedCollection/IndexedCollectionOfElementsTest.java#L28,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/main/java/org/hibernate/Session.java#L202,org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(org.hibernate.testing.orm.junit.SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),org.hibernate.Session.flush(),org.hibernate.Session.flush(),org.hibernate.Session.flush(),#test-code #test-case-method,#main-code,1,0,0,,
hibernate-orm,testIndexedCollectionOfElements,persist,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/test/java/org/hibernate/orm/test/annotations/collectionelement/indexedCollection/IndexedCollectionOfElementsTest.java#L28,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/main/java/org/hibernate/Session.java#L663,org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(org.hibernate.testing.orm.junit.SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),org.hibernate.Session.persist(java.lang.Object),org.hibernate.Session.persist(Object),org.hibernate.Session.persist(Object),#test-code #test-case-method,#main-code,1,0,0,,
hibernate-orm,testIndexedCollectionOfElements,getResourceAsStream,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/test/java/org/hibernate/orm/test/annotations/collectionelement/indexedCollection/IndexedCollectionOfElementsTest.java#L28,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/annotations/AdditionalManagedResourcesImpl.java#L167,org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(org.hibernate.testing.orm.junit.SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),org.hibernate.boot.model.source.internal.annotations.AdditionalManagedResourcesImpl.Builder.getResourceAsStream(java.lang.String),org.hibernate.boot.model.source.internal.annotations.AdditionalManagedResourcesImpl.Builder.getResourceAsStream(String),org.hibernate.boot.model.source.internal.annotations.AdditionalManagedResourcesImpl.Builder.getResourceAsStream(String),#test-code #test-case-method,#main-code,5,0,0,,
hibernate-orm,testIndexedCollectionOfElements,add,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/test/java/org/hibernate/orm/test/annotations/collectionelement/indexedCollection/IndexedCollectionOfElementsTest.java#L28,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/AbstractEntitySourceImpl.java#L367,org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(org.hibernate.testing.orm.junit.SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),org.hibernate.boot.model.source.internal.hbm.AbstractEntitySourceImpl.add(org.hibernate.boot.model.source.spi.SubclassEntitySource),org.hibernate.boot.model.source.internal.hbm.AbstractEntitySourceImpl.add(SubclassEntitySource),org.hibernate.boot.model.source.internal.hbm.AbstractEntitySourceImpl.add(SubclassEntitySource),#test-code #test-case-method,#main-code,1,0,0,,
hibernate-orm,testIndexedCollectionOfElements,size,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/test/java/org/hibernate/orm/test/annotations/collectionelement/indexedCollection/IndexedCollectionOfElementsTest.java#L28,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/main/java/org/hibernate/boot/models/annotations/internal/BatchSizeAnnotation.java#L44,org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(org.hibernate.testing.orm.junit.SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),org.hibernate.boot.models.annotations.internal.BatchSizeAnnotation.size(),org.hibernate.boot.models.annotations.internal.BatchSizeAnnotation.size(),org.hibernate.boot.models.annotations.internal.BatchSizeAnnotation.size(),#test-code #test-case-method,#main-code,1,0,0,,
hibernate-orm,testIndexedCollectionOfElements,EnhancerImpl,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/test/java/org/hibernate/orm/test/annotations/collectionelement/indexedCollection/IndexedCollectionOfElementsTest.java#L28,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/bytebuddy/EnhancerImpl.java#L108,org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(org.hibernate.testing.orm.junit.SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),"org.hibernate.bytecode.enhance.internal.bytebuddy.EnhancerImpl.EnhancerImpl(org.hibernate.bytecode.enhance.spi.EnhancementContext, org.hibernate.bytecode.internal.bytebuddy.ByteBuddyState)","org.hibernate.bytecode.enhance.internal.bytebuddy.EnhancerImpl.EnhancerImpl(EnhancementContext, ByteBuddyState)","org.hibernate.bytecode.enhance.internal.bytebuddy.EnhancerImpl.EnhancerImpl(EnhancementContext, ByteBuddyState)",#test-code #test-case-method,#main-code,4,0,0,,
hibernate-orm,testIndexedCollectionOfElements,enhance,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/test/java/org/hibernate/orm/test/annotations/collectionelement/indexedCollection/IndexedCollectionOfElementsTest.java#L28,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/main/java/org/hibernate/bytecode/enhance/spi/Enhancer.java#L30,org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(org.hibernate.testing.orm.junit.SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),"org.hibernate.bytecode.enhance.spi.Enhancer.enhance(java.lang.String, byte[])","org.hibernate.bytecode.enhance.spi.Enhancer.enhance(String, byte[])","org.hibernate.bytecode.enhance.spi.Enhancer.enhance(String, byte[])",#test-code #test-case-method,#main-code,4,0,0,,
hibernate-orm,testIndexedCollectionOfElements,ByteBuddyState,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/test/java/org/hibernate/orm/test/annotations/collectionelement/indexedCollection/IndexedCollectionOfElementsTest.java#L28,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/main/java/org/hibernate/bytecode/internal/bytebuddy/ByteBuddyState.java#L72,org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(org.hibernate.testing.orm.junit.SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),org.hibernate.bytecode.internal.bytebuddy.ByteBuddyState.ByteBuddyState(),org.hibernate.bytecode.internal.bytebuddy.ByteBuddyState.ByteBuddyState(),org.hibernate.bytecode.internal.bytebuddy.ByteBuddyState.ByteBuddyState(),#test-code #test-case-method,#main-code,4,0,0,,
hibernate-orm,testIndexedCollectionOfElements,replace,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/test/java/org/hibernate/orm/test/annotations/collectionelement/indexedCollection/IndexedCollectionOfElementsTest.java#L28,https://github.com/hibernate/hibernate-orm/blob/64ad80559533e23587982e460f6eb8a87c14a7e1/hibernate-core/src/main/java/org/hibernate/dialect/Replacer.java#L54,org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(org.hibernate.testing.orm.junit.SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),org.hibernate.orm.test.annotations.collectionelement.indexedCollection.IndexedCollectionOfElementsTest.testIndexedCollectionOfElements(SessionFactoryScope),"org.hibernate.dialect.Replacer.replace(java.lang.String, java.lang.String)","org.hibernate.dialect.Replacer.replace(String, String)","org.hibernate.dialect.Replacer.replace(String, String)",#test-code #test-case-method,#main-code,5,0,0,,
