project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
intellij-community,winShellQuotingWithExtraSwitch,createCommandLine,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-tests/testSrc/com/intellij/execution/GeneralCommandLineTest.java#L319,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-tests/testSrc/com/intellij/execution/GeneralCommandLineTest.java#L118,com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.createCommandLine(java.lang.String...),com.intellij.execution.GeneralCommandLineTest.createCommandLine(String[]),"com.intellij.execution.GeneralCommandLineTest.createCommandLine(String, String, String, String, String)",#test-module #test-code #test-case-method,#test-module #test-code #test-helper-method,1,1,0,,
intellij-community,winShellQuotingWithExtraSwitch,execAndGetOutput,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-tests/testSrc/com/intellij/execution/GeneralCommandLineTest.java#L319,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-tests/testSrc/com/intellij/execution/GeneralCommandLineTest.java#L432,com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.execAndGetOutput(com.intellij.execution.configurations.GeneralCommandLine),com.intellij.execution.GeneralCommandLineTest.execAndGetOutput(GeneralCommandLine),com.intellij.execution.GeneralCommandLineTest.execAndGetOutput(GeneralCommandLine),#test-module #test-code #test-case-method,#test-module #test-code #test-helper-method,1,1,0,,
intellij-community,winShellQuotingWithExtraSwitch,createProcessHandler,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-tests/testSrc/com/intellij/execution/GeneralCommandLineTest.java#L319,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-tests/testSrc/com/intellij/execution/GeneralCommandLineTest.java#L443,com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.createProcessHandler(com.intellij.execution.configurations.GeneralCommandLine),com.intellij.execution.GeneralCommandLineTest.createProcessHandler(GeneralCommandLine),com.intellij.execution.GeneralCommandLineTest.createProcessHandler(GeneralCommandLine),#test-module #test-code #test-case-method,#test-module #test-code #test-helper-method,2,1,0,,
intellij-community,winShellQuotingWithExtraSwitch,GeneralCommandLine,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-tests/testSrc/com/intellij/execution/GeneralCommandLineTest.java#L319,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-util-io/src/com/intellij/execution/configurations/GeneralCommandLine.java#L113,com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.configurations.GeneralCommandLine.GeneralCommandLine(java.lang.String...),com.intellij.execution.configurations.GeneralCommandLine.GeneralCommandLine(String),com.intellij.execution.configurations.GeneralCommandLine.GeneralCommandLine(String[]),#test-module #test-code #test-case-method,#main-code,2,1,0,,
intellij-community,winShellQuotingWithExtraSwitch,getPreparedCommandLine,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-tests/testSrc/com/intellij/execution/GeneralCommandLineTest.java#L319,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-util-io/src/com/intellij/execution/configurations/GeneralCommandLine.java#L370,com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.configurations.GeneralCommandLine.getPreparedCommandLine(),com.intellij.execution.configurations.GeneralCommandLine.getPreparedCommandLine(),com.intellij.execution.configurations.GeneralCommandLine.getPreparedCommandLine(),#test-module #test-code #test-case-method,#main-code,2,1,0,,
intellij-community,winShellQuotingWithExtraSwitch,CapturingProcessRunner,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-tests/testSrc/com/intellij/execution/GeneralCommandLineTest.java#L319,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-util-io/src/com/intellij/execution/process/CapturingProcessRunner.java#L26,com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.process.CapturingProcessRunner.CapturingProcessRunner(com.intellij.execution.process.ProcessHandler),com.intellij.execution.process.CapturingProcessRunner.CapturingProcessRunner(ProcessHandler),com.intellij.execution.process.CapturingProcessRunner.CapturingProcessRunner(ProcessHandler),#test-module #test-code #test-case-method,#main-code,2,1,0,,
intellij-community,winShellQuotingWithExtraSwitch,runProcess,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-tests/testSrc/com/intellij/execution/GeneralCommandLineTest.java#L319,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-util-io/src/com/intellij/execution/process/CapturingProcessRunner.java#L38,com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.process.CapturingProcessRunner.runProcess(),com.intellij.execution.process.CapturingProcessRunner.runProcess(),com.intellij.execution.process.CapturingProcessRunner.runProcess(),#test-module #test-code #test-case-method,#main-code,2,1,1,,
intellij-community,winShellQuotingWithExtraSwitch,OSProcessHandler,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-tests/testSrc/com/intellij/execution/GeneralCommandLineTest.java#L319,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-util-io/src/com/intellij/execution/process/OSProcessHandler.java#L44,com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.process.OSProcessHandler.OSProcessHandler(com.intellij.execution.configurations.GeneralCommandLine),com.intellij.execution.process.OSProcessHandler.OSProcessHandler(GeneralCommandLine),com.intellij.execution.process.OSProcessHandler.OSProcessHandler(GeneralCommandLine),#test-module #test-code #test-case-method,#main-code,3,1,0,,
intellij-community,winShellQuotingWithExtraSwitch,getExitCode,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-tests/testSrc/com/intellij/execution/GeneralCommandLineTest.java#L319,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-util-io/src/com/intellij/execution/process/ProcessOutput.java#L102,com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.process.ProcessOutput.getExitCode(),com.intellij.execution.process.ProcessOutput.getExitCode(),com.intellij.execution.process.ProcessOutput.getExitCode(),#test-module #test-code #test-case-method,#main-code,2,1,0,,
intellij-community,winShellQuotingWithExtraSwitch,getStdout,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-tests/testSrc/com/intellij/execution/GeneralCommandLineTest.java#L319,https://github.com/JetBrains/intellij-community/blob/1e05f4447723efe125034ffad6a3764387893163/platform/platform-util-io/src/com/intellij/execution/process/ProcessOutput.java#L48,com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.GeneralCommandLineTest.winShellQuotingWithExtraSwitch(),com.intellij.execution.process.ProcessOutput.getStdout(),com.intellij.execution.process.ProcessOutput.getStdout(),com.intellij.execution.process.ProcessOutput.getStdout(),#test-module #test-code #test-case-method,#main-code,2,1,0,,
