project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
javaparser,parseTypeDeclaration_withValidSource,parseTypeDeclaration,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core-testing/src/test/java/com/github/javaparser/JavaParserAdapterTest.java#L241,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core/src/main/java/com/github/javaparser/JavaParserAdapter.java#L175,com.github.javaparser.JavaParserAdapterTest.parseTypeDeclaration_withValidSource(),com.github.javaparser.JavaParserAdapterTest.parseTypeDeclaration_withValidSource(),com.github.javaparser.JavaParserAdapterTest.parseTypeDeclaration_withValidSource(),com.github.javaparser.JavaParserAdapter.parseTypeDeclaration(java.lang.String),com.github.javaparser.JavaParserAdapter.parseTypeDeclaration(String),com.github.javaparser.JavaParserAdapter.parseTypeDeclaration(String),#test-code #test-case-method,#main-code,1,1,1,,
javaparser,parseTypeDeclaration_withValidSource,getNameAsString,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core-testing/src/test/java/com/github/javaparser/JavaParserAdapterTest.java#L241,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core/src/main/java/com/github/javaparser/ast/nodeTypes/NodeWithSimpleName.java#L46,com.github.javaparser.JavaParserAdapterTest.parseTypeDeclaration_withValidSource(),com.github.javaparser.JavaParserAdapterTest.parseTypeDeclaration_withValidSource(),com.github.javaparser.JavaParserAdapterTest.parseTypeDeclaration_withValidSource(),com.github.javaparser.ast.nodeTypes.NodeWithSimpleName.getNameAsString(),com.github.javaparser.ast.nodeTypes.NodeWithSimpleName.getNameAsString(),com.github.javaparser.ast.nodeTypes.NodeWithSimpleName.getNameAsString(),#test-code #test-case-method,#main-code,1,1,0,,
javaparser,typeOnlyFindAll,parseExpression,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core-testing/src/test/java/com/github/javaparser/ast/WalkFindTest.java#L120,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core/src/main/java/com/github/javaparser/StaticJavaParser.java#L307,com.github.javaparser.ast.WalkFindTest.typeOnlyFindAll(),com.github.javaparser.ast.WalkFindTest.typeOnlyFindAll(),com.github.javaparser.ast.WalkFindTest.typeOnlyFindAll(),com.github.javaparser.StaticJavaParser.parseExpression(java.lang.String),com.github.javaparser.StaticJavaParser.parseExpression(String),com.github.javaparser.StaticJavaParser.parseExpression(String),#test-code #test-case-method,#main-code,1,1,0,,
javaparser,typeOnlyFindAll,findAll,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core-testing/src/test/java/com/github/javaparser/ast/WalkFindTest.java#L120,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core/src/main/java/com/github/javaparser/ast/Node.java#L944,com.github.javaparser.ast.WalkFindTest.typeOnlyFindAll(),com.github.javaparser.ast.WalkFindTest.typeOnlyFindAll(),com.github.javaparser.ast.WalkFindTest.typeOnlyFindAll(),com.github.javaparser.ast.Node.findAll(java.lang.Class<T>),com.github.javaparser.ast.Node.findAll(Class),com.github.javaparser.ast.Node.findAll(Class),#test-code #test-case-method,#main-code,1,1,1,,
javaparser,andTakesPrecedenceOverOrThenLeftToRight,applyBrackets,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core-testing/src/test/java/com/github/javaparser/ast/expr/BinaryExprTest.java#L109,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core-testing/src/test/java/com/github/javaparser/ast/expr/BinaryExprTest.java#L132,com.github.javaparser.ast.expr.BinaryExprTest.LogicalOperatorPrecedence.andTakesPrecedenceOverOrThenLeftToRight(),com.github.javaparser.ast.expr.BinaryExprTest.LogicalOperatorPrecedence.andTakesPrecedenceOverOrThenLeftToRight(),com.github.javaparser.ast.expr.BinaryExprTest.LogicalOperatorPrecedence.andTakesPrecedenceOverOrThenLeftToRight(),com.github.javaparser.ast.expr.BinaryExprTest.applyBrackets(com.github.javaparser.ast.expr.Expression),com.github.javaparser.ast.expr.BinaryExprTest.applyBrackets(Expression),com.github.javaparser.ast.expr.BinaryExprTest.applyBrackets(Expression),#test-code #test-case-method,#test-code #test-helper-method,1,1,0,,
javaparser,andTakesPrecedenceOverOrThenLeftToRight,parseExpression,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core-testing/src/test/java/com/github/javaparser/ast/expr/BinaryExprTest.java#L109,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core/src/main/java/com/github/javaparser/StaticJavaParser.java#L307,com.github.javaparser.ast.expr.BinaryExprTest.LogicalOperatorPrecedence.andTakesPrecedenceOverOrThenLeftToRight(),com.github.javaparser.ast.expr.BinaryExprTest.LogicalOperatorPrecedence.andTakesPrecedenceOverOrThenLeftToRight(),com.github.javaparser.ast.expr.BinaryExprTest.LogicalOperatorPrecedence.andTakesPrecedenceOverOrThenLeftToRight(),com.github.javaparser.StaticJavaParser.parseExpression(java.lang.String),com.github.javaparser.StaticJavaParser.parseExpression(String),com.github.javaparser.StaticJavaParser.parseExpression(String),#test-code #test-case-method,#main-code,1,1,1,,
javaparser,andTakesPrecedenceOverOrThenLeftToRight,toString,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core-testing/src/test/java/com/github/javaparser/ast/expr/BinaryExprTest.java#L109,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core/src/main/java/com/github/javaparser/ast/Node.java#L341,com.github.javaparser.ast.expr.BinaryExprTest.LogicalOperatorPrecedence.andTakesPrecedenceOverOrThenLeftToRight(),com.github.javaparser.ast.expr.BinaryExprTest.LogicalOperatorPrecedence.andTakesPrecedenceOverOrThenLeftToRight(),com.github.javaparser.ast.expr.BinaryExprTest.LogicalOperatorPrecedence.andTakesPrecedenceOverOrThenLeftToRight(),com.github.javaparser.ast.Node.toString(),com.github.javaparser.ast.Node.toString(),com.github.javaparser.ast.Node.toString(),#test-code #test-case-method,#main-code,1,1,0,,
javaparser,andTakesPrecedenceOverOrThenLeftToRight,findAll,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core-testing/src/test/java/com/github/javaparser/ast/expr/BinaryExprTest.java#L109,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core/src/main/java/com/github/javaparser/ast/Node.java#L944,com.github.javaparser.ast.expr.BinaryExprTest.LogicalOperatorPrecedence.andTakesPrecedenceOverOrThenLeftToRight(),com.github.javaparser.ast.expr.BinaryExprTest.LogicalOperatorPrecedence.andTakesPrecedenceOverOrThenLeftToRight(),com.github.javaparser.ast.expr.BinaryExprTest.LogicalOperatorPrecedence.andTakesPrecedenceOverOrThenLeftToRight(),com.github.javaparser.ast.Node.findAll(java.lang.Class<T>),com.github.javaparser.ast.Node.findAll(Class),com.github.javaparser.ast.Node.findAll(Class),#test-code #test-case-method,#main-code,2,1,0,,
javaparser,andTakesPrecedenceOverOrThenLeftToRight,getLeft,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core-testing/src/test/java/com/github/javaparser/ast/expr/BinaryExprTest.java#L109,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core/src/main/java/com/github/javaparser/ast/expr/BinaryExpr.java#L150,com.github.javaparser.ast.expr.BinaryExprTest.LogicalOperatorPrecedence.andTakesPrecedenceOverOrThenLeftToRight(),com.github.javaparser.ast.expr.BinaryExprTest.LogicalOperatorPrecedence.andTakesPrecedenceOverOrThenLeftToRight(),com.github.javaparser.ast.expr.BinaryExprTest.LogicalOperatorPrecedence.andTakesPrecedenceOverOrThenLeftToRight(),com.github.javaparser.ast.expr.BinaryExpr.getLeft(),com.github.javaparser.ast.expr.BinaryExpr.getLeft(),com.github.javaparser.ast.expr.BinaryExpr.getLeft(),#test-code #test-case-method,#main-code,2,1,0,,
javaparser,andTakesPrecedenceOverOrThenLeftToRight,getOperator,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core-testing/src/test/java/com/github/javaparser/ast/expr/BinaryExprTest.java#L109,https://github.com/javaparser/javaparser/blob/3dc8e77116dc740489fa6d7b74c3bfa4a9750d7e/javaparser-core/src/main/java/com/github/javaparser/ast/expr/BinaryExpr.java#L155,com.github.javaparser.ast.expr.BinaryExprTest.LogicalOperatorPrecedence.andTakesPrecedenceOverOrThenLeftToRight(),com.github.javaparser.ast.expr.BinaryExprTest.LogicalOperatorPrecedence.andTakesPrecedenceOverOrThenLeftToRight(),com.github.javaparser.ast.expr.BinaryExprTest.LogicalOperatorPrecedence.andTakesPrecedenceOverOrThenLeftToRight(),com.github.javaparser.ast.expr.BinaryExpr.getOperator(),com.github.javaparser.ast.expr.BinaryExpr.getOperator(),com.github.javaparser.ast.expr.BinaryExpr.getOperator(),#test-code #test-case-method,#main-code,2,1,0,,
