project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
jetty.project,testQuotedNoQuotesWithComma,QuotedCSV,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-http/src/test/java/org/eclipse/jetty/http/QuotedCSVTest.java#L123,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-http/src/main/java/org/eclipse/jetty/http/QuotedCSV.java#L116,org.eclipse.jetty.http.QuotedCSVTest.testQuotedNoQuotesWithComma(),org.eclipse.jetty.http.QuotedCSVTest.testQuotedNoQuotesWithComma(),org.eclipse.jetty.http.QuotedCSVTest.testQuotedNoQuotesWithComma(),"org.eclipse.jetty.http.QuotedCSV.QuotedCSV(boolean, java.lang.String...)","org.eclipse.jetty.http.QuotedCSV.QuotedCSV(boolean, String)",org.eclipse.jetty.http.QuotedCSV.QuotedCSV(boolean),#test-code #test-unit #test-method,#production-code,1,1,0,,
jetty.project,testQuotedNoQuotesWithComma,addValue,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-http/src/test/java/org/eclipse/jetty/http/QuotedCSVTest.java#L123,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-http/src/main/java/org/eclipse/jetty/http/QuotedCSVParser.java#L70,org.eclipse.jetty.http.QuotedCSVTest.testQuotedNoQuotesWithComma(),org.eclipse.jetty.http.QuotedCSVTest.testQuotedNoQuotesWithComma(),org.eclipse.jetty.http.QuotedCSVTest.testQuotedNoQuotesWithComma(),org.eclipse.jetty.http.QuotedCSVParser.addValue(java.lang.String),org.eclipse.jetty.http.QuotedCSVParser.addValue(String),org.eclipse.jetty.http.QuotedCSVParser.addValue(String),#test-code #test-unit #test-method,#production-code,1,1,1,,
jetty.project,testCancelWriteBeforeWrite,is,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-io/src/test/java/org/eclipse/jetty/io/WriteFlusherTest.java#L53,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-http/src/main/java/org/eclipse/jetty/http/HttpField.java#L609,org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.http.HttpField.is(java.lang.String),org.eclipse.jetty.http.HttpField.is(String),org.eclipse.jetty.http.HttpField.is(String),#test-code #test-unit #test-method,#production-code,1,1,0,,
jetty.project,testCancelWriteBeforeWrite,set,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-io/src/test/java/org/eclipse/jetty/io/WriteFlusherTest.java#L53,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-http/src/main/java/org/eclipse/jetty/http/HttpFields.java#L1908,org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.http.HttpFields.Mutable.Wrapper.$1.set(org.eclipse.jetty.http.HttpField),org.eclipse.jetty.http.HttpFields.Mutable.Wrapper.$1.set(HttpField),org.eclipse.jetty.http.HttpFields.Mutable.Wrapper.$1.set(HttpField),#test-code #test-unit #test-method,#production-code,1,1,0,,
jetty.project,testCancelWriteBeforeWrite,get,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-io/src/test/java/org/eclipse/jetty/io/WriteFlusherTest.java#L53,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-http/src/main/java/org/eclipse/jetty/http/HttpFields.java#L196,org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.http.HttpFields.get(),org.eclipse.jetty.http.HttpFields.get(),org.eclipse.jetty.http.HttpFields.get(),#test-code #test-unit #test-method,#production-code,1,1,0,,
jetty.project,testCancelWriteBeforeWrite,write,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-io/src/test/java/org/eclipse/jetty/io/WriteFlusherTest.java#L53,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-io/src/main/java/org/eclipse/jetty/io/AbstractEndPoint.java#L348,org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),"org.eclipse.jetty.io.AbstractEndPoint.write(org.eclipse.jetty.util.Callback, java.nio.ByteBuffer...)","org.eclipse.jetty.io.AbstractEndPoint.write(Callback, ByteBuffer)","org.eclipse.jetty.io.AbstractEndPoint.write(Callback, ByteBuffer)",#test-code #test-unit #test-method,#production-code,1,1,0,,
jetty.project,testCancelWriteBeforeWrite,getWriteFlusher,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-io/src/test/java/org/eclipse/jetty/io/WriteFlusherTest.java#L53,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-io/src/main/java/org/eclipse/jetty/io/AbstractEndPoint.java#L368,org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.AbstractEndPoint.getWriteFlusher(),org.eclipse.jetty.io.AbstractEndPoint.getWriteFlusher(),org.eclipse.jetty.io.AbstractEndPoint.getWriteFlusher(),#test-code #test-unit #test-method,#production-code,1,1,0,,
jetty.project,testCancelWriteBeforeWrite,ByteArrayEndPoint,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-io/src/test/java/org/eclipse/jetty/io/WriteFlusherTest.java#L53,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-io/src/main/java/org/eclipse/jetty/io/ByteArrayEndPoint.java#L93,org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),"org.eclipse.jetty.io.ByteArrayEndPoint.ByteArrayEndPoint(byte[], int, boolean)","org.eclipse.jetty.io.ByteArrayEndPoint.ByteArrayEndPoint(byte[], int, boolean)","org.eclipse.jetty.io.ByteArrayEndPoint.ByteArrayEndPoint(byte[], int, boolean)",#test-code #test-unit #test-method,#production-code,1,1,0,,
jetty.project,testCancelWriteBeforeWrite,cancelWrite,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-io/src/test/java/org/eclipse/jetty/io/WriteFlusherTest.java#L53,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-io/src/main/java/org/eclipse/jetty/io/WriteFlusher.java#L566,org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.WriteFlusher.cancelWrite(java.lang.Throwable),org.eclipse.jetty.io.WriteFlusher.cancelWrite(Throwable),org.eclipse.jetty.io.WriteFlusher.cancelWrite(ArithmeticException),#test-code #test-unit #test-method,#production-code,1,1,1,,
jetty.project,testCancelWriteBeforeWrite,isFailed,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-io/src/test/java/org/eclipse/jetty/io/WriteFlusherTest.java#L53,https://github.com/eclipse/jetty.project/blob/d94be9b4862f7990276522d79a463f5fc4427e2f/jetty-core/jetty-io/src/main/java/org/eclipse/jetty/io/WriteFlusher.java#L625,org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.WriteFlusherTest.testCancelWriteBeforeWrite(),org.eclipse.jetty.io.WriteFlusher.isFailed(),org.eclipse.jetty.io.WriteFlusher.isFailed(),org.eclipse.jetty.io.WriteFlusher.isFailed(),#test-code #test-unit #test-method,#production-code,1,1,0,,
