project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
jgit,testPushNotSupported,toString,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit.http.test/tst/org/eclipse/jgit/http/test/DumbClientSmartServerTest.java#L207,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit.http.server/src/org/eclipse/jgit/http/server/ClientVersionUtil.java#L119,org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.server.ClientVersionUtil.toString(int[]),org.eclipse.jgit.http.server.ClientVersionUtil.toString(int[]),org.eclipse.jgit.http.server.ClientVersionUtil.toString(int[]),#test-module #test-code #test-case-method,#main-code,2,0,0,,
jgit,testPushNotSupported,assertEquals,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit.http.test/tst/org/eclipse/jgit/http/test/DumbClientSmartServerTest.java#L207,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit.http.test/tst/org/eclipse/jgit/http/server/ClientVersionUtilTest.java#L34,org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),"org.eclipse.jgit.http.server.ClientVersionUtilTest.assertEquals(java.lang.String, int[])","org.eclipse.jgit.http.server.ClientVersionUtilTest.assertEquals(String, int[])","org.eclipse.jgit.http.server.ClientVersionUtilTest.assertEquals(String, int[])",#test-module #test-code #test-case-method,#test-module #test-code #test-helper-method,1,0,0,,
jgit,testPushNotSupported,push,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit.http.test/tst/org/eclipse/jgit/http/test/DumbClientSmartServerTest.java#L207,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit.junit.http/src/org/eclipse/jgit/junit/http/HttpTestCase.java#L205,org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),"org.eclipse.jgit.junit.http.HttpTestCase.push(org.eclipse.jgit.junit.TestRepository, org.eclipse.jgit.revwalk.RevCommit)","org.eclipse.jgit.junit.http.HttpTestCase.push(TestRepository, RevCommit)","org.eclipse.jgit.junit.http.HttpTestCase.push(TestRepository, RevCommit)",#test-module #test-code #test-case-method,#main-code,1,1,1,,
jgit,testPushNotSupported,createTestRepository,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit.http.test/tst/org/eclipse/jgit/http/test/DumbClientSmartServerTest.java#L207,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit.junit.http/src/org/eclipse/jgit/junit/http/HttpTestCase.java#L81,org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.junit.http.HttpTestCase.createTestRepository(),org.eclipse.jgit.junit.http.HttpTestCase.createTestRepository(),org.eclipse.jgit.junit.http.HttpTestCase.createTestRepository(),#test-module #test-code #test-case-method,#main-code,1,1,0,,
jgit,testPushNotSupported,create,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit.http.test/tst/org/eclipse/jgit/http/test/DumbClientSmartServerTest.java#L207,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit.junit/src/org/eclipse/jgit/junit/TestRepository.java#L1425,org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.junit.TestRepository.CommitBuilder.create(),org.eclipse.jgit.junit.TestRepository.CommitBuilder.create(),org.eclipse.jgit.junit.TestRepository.CommitBuilder.create(),#test-module #test-code #test-case-method,#main-code,1,1,0,,
jgit,testPushNotSupported,getRepository,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit.http.test/tst/org/eclipse/jgit/http/test/DumbClientSmartServerTest.java#L207,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit.junit/src/org/eclipse/jgit/junit/TestRepository.java#L174,org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.junit.TestRepository.getRepository(),org.eclipse.jgit.junit.TestRepository.getRepository(),org.eclipse.jgit.junit.TestRepository.getRepository(),#test-module #test-code #test-case-method,#main-code,1,1,0,,
jgit,testPushNotSupported,commit,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit.http.test/tst/org/eclipse/jgit/http/test/DumbClientSmartServerTest.java#L207,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit.junit/src/org/eclipse/jgit/junit/TestRepository.java#L524,org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.junit.TestRepository.commit(),org.eclipse.jgit.junit.TestRepository.commit(),org.eclipse.jgit.junit.TestRepository.commit(),#test-module #test-code #test-case-method,#main-code,1,1,0,,
jgit,testPushNotSupported,getMessage,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit.http.test/tst/org/eclipse/jgit/http/test/DumbClientSmartServerTest.java#L207,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit.ssh.apache/src/org/eclipse/jgit/signing/ssh/VerificationException.java#L41,org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.signing.ssh.VerificationException.getMessage(),org.eclipse.jgit.signing.ssh.VerificationException.getMessage(),org.eclipse.jgit.signing.ssh.VerificationException.getMessage(),#test-module #test-code #test-case-method,#main-code,1,0,0,,
jgit,testPushNotSupported,push,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit.http.test/tst/org/eclipse/jgit/http/test/DumbClientSmartServerTest.java#L207,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit/src/org/eclipse/jgit/transport/Transport.java#L1576,org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),"org.eclipse.jgit.transport.Transport.push(org.eclipse.jgit.lib.ProgressMonitor, java.util.Collection<org.eclipse.jgit.transport.RemoteRefUpdate>)","org.eclipse.jgit.transport.Transport.push(ProgressMonitor, Collection)","org.eclipse.jgit.transport.Transport.push(ProgressMonitor, Collection)",#test-module #test-code #test-case-method,#main-code,1,1,1,,
jgit,testPushNotSupported,open,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit.http.test/tst/org/eclipse/jgit/http/test/DumbClientSmartServerTest.java#L207,https://github.com/eclipse-jgit/jgit/blob/1e9dd8cb9bedce1b5d579dcd841c5c9aac24b1e7/org.eclipse.jgit/src/org/eclipse/jgit/transport/Transport.java#L493,org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),org.eclipse.jgit.http.test.DumbClientSmartServerTest.testPushNotSupported(),"org.eclipse.jgit.transport.Transport.open(org.eclipse.jgit.lib.Repository, org.eclipse.jgit.transport.URIish)","org.eclipse.jgit.transport.Transport.open(Repository, URIish)","org.eclipse.jgit.transport.Transport.open(Repository, URIish)",#test-module #test-code #test-case-method,#main-code,1,1,0,,
