project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
junit4,testAssertNullNotEqualsString,fail,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/test/java/junit/tests/framework/AssertTest.java#L72,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/main/java/junit/framework/TestCase.java#L229,junit.tests.framework.AssertTest.testAssertNullNotEqualsString(),junit.tests.framework.AssertTest.testAssertNullNotEqualsString(),junit.tests.framework.AssertTest.testAssertNullNotEqualsString(),junit.framework.TestCase.fail(),junit.framework.TestCase.fail(),junit.framework.TestCase.fail(),#test-code #test-unit #test-method,#production-code,1,1,0,,
junit4,testAssertNullNotEqualsString,assertEquals,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/test/java/junit/tests/framework/AssertTest.java#L72,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/main/java/junit/framework/TestCase.java#L259,junit.tests.framework.AssertTest.testAssertNullNotEqualsString(),junit.tests.framework.AssertTest.testAssertNullNotEqualsString(),junit.tests.framework.AssertTest.testAssertNullNotEqualsString(),"junit.framework.TestCase.assertEquals(java.lang.String, java.lang.String)","junit.framework.TestCase.assertEquals(String, String)","junit.framework.TestCase.assertEquals(null, String)",#test-code #test-unit #test-method,#production-code,1,1,1,,
junit4,testCreateErrorWithMessage,AssertionFailedError,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/test/java/junit/tests/framework/AssertionFailedErrorTest.java#L14,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/main/java/junit/framework/AssertionFailedError.java#L22,junit.tests.framework.AssertionFailedErrorTest.testCreateErrorWithMessage(),junit.tests.framework.AssertionFailedErrorTest.testCreateErrorWithMessage(),junit.tests.framework.AssertionFailedErrorTest.testCreateErrorWithMessage(),junit.framework.AssertionFailedError.AssertionFailedError(java.lang.String),junit.framework.AssertionFailedError.AssertionFailedError(String),junit.framework.AssertionFailedError.AssertionFailedError(String),#test-code #test-unit #test-method,#production-code,1,1,1,,
junit4,testCreateErrorWithMessage,getMessage,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/test/java/junit/tests/framework/AssertionFailedErrorTest.java#L14,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/main/java/junit/framework/ComparisonFailure.java#L35,junit.tests.framework.AssertionFailedErrorTest.testCreateErrorWithMessage(),junit.tests.framework.AssertionFailedErrorTest.testCreateErrorWithMessage(),junit.tests.framework.AssertionFailedErrorTest.testCreateErrorWithMessage(),junit.framework.ComparisonFailure.getMessage(),junit.framework.ComparisonFailure.getMessage(),junit.framework.ComparisonFailure.getMessage(),#test-code #test-unit #test-method,#production-code,1,1,0,,
junit4,testCreateErrorWithMessage,assertEquals,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/test/java/junit/tests/framework/AssertionFailedErrorTest.java#L14,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/main/java/junit/framework/TestCase.java#L259,junit.tests.framework.AssertionFailedErrorTest.testCreateErrorWithMessage(),junit.tests.framework.AssertionFailedErrorTest.testCreateErrorWithMessage(),junit.tests.framework.AssertionFailedErrorTest.testCreateErrorWithMessage(),"junit.framework.TestCase.assertEquals(java.lang.String, java.lang.String)","junit.framework.TestCase.assertEquals(String, String)","junit.framework.TestCase.assertEquals(String, String)",#test-code #test-unit #test-method,#production-code,1,1,0,,
junit4,testAssertNegInfinityEqualsInfinity,assertEquals,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/test/java/junit/tests/framework/FloatAssertTest.java#L55,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/main/java/junit/framework/TestCase.java#L276,junit.tests.framework.FloatAssertTest.testAssertNegInfinityEqualsInfinity(),junit.tests.framework.FloatAssertTest.testAssertNegInfinityEqualsInfinity(),junit.tests.framework.FloatAssertTest.testAssertNegInfinityEqualsInfinity(),"junit.framework.TestCase.assertEquals(double, double, double)","junit.framework.TestCase.assertEquals(double, double, double)","junit.framework.TestCase.assertEquals(float, float, double)",#test-code #test-unit #test-method,#production-code,1,1,1,,
junit4,testInvokeNonStaticSuite,getTest,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/test/java/junit/tests/runner/BaseTestRunnerTest.java#L36,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/main/java/junit/runner/BaseTestRunner.java#L95,junit.tests.runner.BaseTestRunnerTest.testInvokeNonStaticSuite(),junit.tests.runner.BaseTestRunnerTest.testInvokeNonStaticSuite(),junit.tests.runner.BaseTestRunnerTest.testInvokeNonStaticSuite(),junit.runner.BaseTestRunner.getTest(java.lang.String),junit.runner.BaseTestRunner.getTest(String),junit.runner.BaseTestRunner.getTest(String),#test-code #test-unit #test-method,#production-code,1,1,1,,
junit4,testError,toString,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/test/java/junit/tests/runner/TextFeedbackTest.java#L97,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/main/java/junit/extensions/RepeatedTest.java#L36,junit.tests.runner.TextFeedbackTest.testError(),junit.tests.runner.TextFeedbackTest.testError(),junit.tests.runner.TextFeedbackTest.testError(),junit.extensions.RepeatedTest.toString(),junit.extensions.RepeatedTest.toString(),junit.extensions.RepeatedTest.toString(),#test-code #test-unit #test-method,#production-code,1,1,0,,
junit4,testError,assertEquals,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/test/java/junit/tests/runner/TextFeedbackTest.java#L97,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/main/java/junit/framework/TestCase.java#L259,junit.tests.runner.TextFeedbackTest.testError(),junit.tests.runner.TextFeedbackTest.testError(),junit.tests.runner.TextFeedbackTest.testError(),"junit.framework.TestCase.assertEquals(java.lang.String, java.lang.String)","junit.framework.TestCase.assertEquals(String, String)","junit.framework.TestCase.assertEquals(String, String)",#test-code #test-unit #test-method,#production-code,1,1,0,,
junit4,testError,TestCase,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/test/java/junit/tests/runner/TextFeedbackTest.java#L97,https://github.com/junit-team/junit4/blob/71c33ce555230d9dfb6cab5e133e22a4cc95cdff/src/main/java/junit/framework/TestCase.java#L87,junit.tests.runner.TextFeedbackTest.testError(),junit.tests.runner.TextFeedbackTest.testError(),junit.tests.runner.TextFeedbackTest.testError(),junit.framework.TestCase.TestCase(),junit.framework.TestCase.TestCase(),junit.framework.TestCase.TestCase(),#test-code #test-unit #test-method,#production-code,1,1,0,,
