project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
lucene,testKoreanSA,assertAnalyzesTo,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/analysis/common/src/test/org/apache/lucene/analysis/email/TestUAX29URLEmailTokenizer.java#L470,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/test-framework/src/java/org/apache/lucene/tests/analysis/BaseTokenStreamTestCase.java#L860,org.apache.lucene.analysis.email.TestUAX29URLEmailTokenizer.testKoreanSA(),org.apache.lucene.analysis.email.TestUAX29URLEmailTokenizer.testKoreanSA(),org.apache.lucene.analysis.email.TestUAX29URLEmailTokenizer.testKoreanSA(),"org.apache.lucene.tests.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(org.apache.lucene.analysis.Analyzer, java.lang.String, java.lang.String[])","org.apache.lucene.tests.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(Analyzer, String, String[])","org.apache.lucene.tests.analysis.BaseTokenStreamTestCase.assertAnalyzesTo(Analyzer, String, String[])",#test-code #test-case-method,#test-code #test-helper-method,1,0,0,#investigate-callgraph-helper-assert,
lucene,testKoreanSA,incrementToken,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/analysis/common/src/test/org/apache/lucene/analysis/email/TestUAX29URLEmailTokenizer.java#L470,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/analysis/common/src/java/org/apache/lucene/analysis/email/UAX29URLEmailTokenizer.java#L146,org.apache.lucene.analysis.email.TestUAX29URLEmailTokenizer.testKoreanSA(),org.apache.lucene.analysis.email.TestUAX29URLEmailTokenizer.testKoreanSA(),org.apache.lucene.analysis.email.TestUAX29URLEmailTokenizer.testKoreanSA(),org.apache.lucene.analysis.email.UAX29URLEmailTokenizer.incrementToken(),org.apache.lucene.analysis.email.UAX29URLEmailTokenizer.incrementToken(),org.apache.lucene.analysis.email.UAX29URLEmailTokenizer.incrementToken(),#test-code #test-case-method,#main-code,1,0,1,,
lucene,testPlural,checkOneTerm,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/analysis/common/src/test/org/apache/lucene/analysis/gl/TestGalicianMinimalStemFilter.java#L52,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/test-framework/src/java/org/apache/lucene/tests/analysis/BaseTokenStreamTestCase.java#L946,org.apache.lucene.analysis.gl.TestGalicianMinimalStemFilter.testPlural(),org.apache.lucene.analysis.gl.TestGalicianMinimalStemFilter.testPlural(),org.apache.lucene.analysis.gl.TestGalicianMinimalStemFilter.testPlural(),"org.apache.lucene.tests.analysis.BaseTokenStreamTestCase.checkOneTerm(org.apache.lucene.analysis.Analyzer, java.lang.String, java.lang.String)","org.apache.lucene.tests.analysis.BaseTokenStreamTestCase.checkOneTerm(Analyzer, String, String)","org.apache.lucene.tests.analysis.BaseTokenStreamTestCase.checkOneTerm(Analyzer, String, String)",#test-code #test-case-method,#test-code #test-helper-method,1,0,0,,
lucene,testNoSuggest,getWord,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/analysis/common/src/test/org/apache/lucene/analysis/hunspell/TestSpellChecking.java#L248,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/analysis/common/src/java/org/apache/lucene/analysis/hunspell/AffixedWord.java#L42,org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),org.apache.lucene.analysis.hunspell.AffixedWord.getWord(),org.apache.lucene.analysis.hunspell.AffixedWord.getWord(),org.apache.lucene.analysis.hunspell.AffixedWord.getWord(),#test-code #test-case-method,#main-code,5,0,0,,
lucene,testNoSuggest,mayNeedInputCleaning,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/analysis/common/src/test/org/apache/lucene/analysis/hunspell/TestSpellChecking.java#L248,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/analysis/common/src/java/org/apache/lucene/analysis/hunspell/Dictionary.java#L1519,org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),org.apache.lucene.analysis.hunspell.Dictionary.mayNeedInputCleaning(),org.apache.lucene.analysis.hunspell.Dictionary.mayNeedInputCleaning(),org.apache.lucene.analysis.hunspell.Dictionary.mayNeedInputCleaning(),#test-code #test-case-method,#main-code,4,0,0,,
lucene,testNoSuggest,Dictionary,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/analysis/common/src/test/org/apache/lucene/analysis/hunspell/TestSpellChecking.java#L248,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/analysis/common/src/java/org/apache/lucene/analysis/hunspell/Dictionary.java#L226,org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),"org.apache.lucene.analysis.hunspell.Dictionary.Dictionary(java.io.InputStream, java.util.List<java.io.InputStream>, boolean, org.apache.lucene.analysis.hunspell.SortingStrategy)","org.apache.lucene.analysis.hunspell.Dictionary.Dictionary(InputStream, List, boolean, SortingStrategy)","org.apache.lucene.analysis.hunspell.Dictionary.Dictionary(InputStream, List, boolean, SortingStrategy)",#test-code #test-case-method,#main-code,4,0,0,,
lucene,testNoSuggest,analyzeSimpleWord,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/analysis/common/src/test/org/apache/lucene/analysis/hunspell/TestSpellChecking.java#L248,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/analysis/common/src/java/org/apache/lucene/analysis/hunspell/Hunspell.java#L314,org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),org.apache.lucene.analysis.hunspell.Hunspell.analyzeSimpleWord(java.lang.String),org.apache.lucene.analysis.hunspell.Hunspell.analyzeSimpleWord(String),org.apache.lucene.analysis.hunspell.Hunspell.analyzeSimpleWord(String),#test-code #test-case-method,#main-code,5,0,0,,
lucene,testNoSuggest,Hunspell,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/analysis/common/src/test/org/apache/lucene/analysis/hunspell/TestSpellChecking.java#L248,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/analysis/common/src/java/org/apache/lucene/analysis/hunspell/Hunspell.java#L64,org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),"org.apache.lucene.analysis.hunspell.Hunspell.Hunspell(org.apache.lucene.analysis.hunspell.Dictionary, org.apache.lucene.analysis.hunspell.TimeoutPolicy, java.lang.Runnable)","org.apache.lucene.analysis.hunspell.Hunspell.Hunspell(Dictionary, TimeoutPolicy, Runnable)","org.apache.lucene.analysis.hunspell.Hunspell.Hunspell(Dictionary, TimeoutPolicy, Runnable)",#test-code #test-case-method,#main-code,4,0,0,,
lucene,testNoSuggest,spell,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/analysis/common/src/test/org/apache/lucene/analysis/hunspell/TestSpellChecking.java#L248,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/analysis/common/src/java/org/apache/lucene/analysis/hunspell/Hunspell.java#L74,org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),org.apache.lucene.analysis.hunspell.Hunspell.spell(java.lang.String),org.apache.lucene.analysis.hunspell.Hunspell.spell(String),org.apache.lucene.analysis.hunspell.Hunspell.spell(String),#test-code #test-case-method,#main-code,4,0,1,,
lucene,testNoSuggest,fromAllSimpleWords,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/analysis/common/src/test/org/apache/lucene/analysis/hunspell/TestSpellChecking.java#L248,https://github.com/apache/lucene/blob/a06c51e41bc14ae0d7786cf78388b691e0dfb08b/lucene/analysis/common/src/java/org/apache/lucene/analysis/hunspell/NGramFragmentChecker.java#L87,org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),org.apache.lucene.analysis.hunspell.TestSpellChecking.testNoSuggest(),"org.apache.lucene.analysis.hunspell.NGramFragmentChecker.fromAllSimpleWords(int, org.apache.lucene.analysis.hunspell.Dictionary, java.lang.Runnable)","org.apache.lucene.analysis.hunspell.NGramFragmentChecker.fromAllSimpleWords(int, Dictionary, Runnable)","org.apache.lucene.analysis.hunspell.NGramFragmentChecker.fromAllSimpleWords(int, Dictionary, Runnable)",#test-code #test-case-method,#main-code,4,0,0,,
