project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
pmd,testExitCodeWithLexicalErrorsAndSkipLexical,mainWithoutExit,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-cli/src/test/java/net/sourceforge/pmd/cli/CpdCliTest.java#L373,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-cli/src/main/java/net/sourceforge/pmd/cli/PmdCli.java#L16,net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.PmdCli.mainWithoutExit(java.lang.String[]),net.sourceforge.pmd.cli.PmdCli.mainWithoutExit(String[]),net.sourceforge.pmd.cli.PmdCli.mainWithoutExit(String[]),#test-code #test-case-method,#main-code,2,1,1,,
pmd,testExitCodeWithLexicalErrorsAndSkipLexical,fromInt,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-cli/src/test/java/net/sourceforge/pmd/cli/CpdCliTest.java#L373,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-cli/src/main/java/net/sourceforge/pmd/cli/internal/CliExitCode.java#L51,net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.internal.CliExitCode.fromInt(int),net.sourceforge.pmd.cli.internal.CliExitCode.fromInt(int),net.sourceforge.pmd.cli.internal.CliExitCode.fromInt(int),#test-code #test-case-method,#main-code,2,1,0,,
pmd,testExitCodeWithLexicalErrorsAndSkipLexical,verify,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-cli/src/test/java/net/sourceforge/pmd/cli/CpdCliTest.java#L373,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-cli/src/test/java/net/sourceforge/pmd/cli/BaseCliTest.java#L163,net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.BaseCliTest.CliExecutionResult.verify(org.junit.jupiter.api.function.ThrowingConsumer),net.sourceforge.pmd.cli.BaseCliTest.CliExecutionResult.verify(ThrowingConsumer),net.sourceforge.pmd.cli.BaseCliTest.CliExecutionResult.verify(ThrowingConsumer),#test-code #test-case-method,#test-code #test-helper-method,2,1,0,,
pmd,testExitCodeWithLexicalErrorsAndSkipLexical,runCli,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-cli/src/test/java/net/sourceforge/pmd/cli/CpdCliTest.java#L373,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-cli/src/test/java/net/sourceforge/pmd/cli/BaseCliTest.java#L48,net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),"net.sourceforge.pmd.cli.BaseCliTest.runCli(net.sourceforge.pmd.cli.internal.CliExitCode, java.lang.String...)","net.sourceforge.pmd.cli.BaseCliTest.runCli(CliExitCode, String[])","net.sourceforge.pmd.cli.BaseCliTest.runCli(CliExitCode, String[])",#test-code #test-case-method,#test-code #test-helper-method,1,1,0,,
pmd,testExitCodeWithLexicalErrorsAndSkipLexical,containsPattern,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-cli/src/test/java/net/sourceforge/pmd/cli/CpdCliTest.java#L373,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-cli/src/test/java/net/sourceforge/pmd/cli/BaseCliTest.java#L84,net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.BaseCliTest.containsPattern(java.lang.String),net.sourceforge.pmd.cli.BaseCliTest.containsPattern(String),net.sourceforge.pmd.cli.BaseCliTest.containsPattern(String),#test-code #test-case-method,#test-code #test-helper-method,1,1,0,,
pmd,testExitCodeWithLexicalErrorsAndSkipLexical,CliExecutionResult,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-cli/src/test/java/net/sourceforge/pmd/cli/CpdCliTest.java#L373,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-cli/src/test/java/net/sourceforge/pmd/cli/BaseCliTest.java#L123,net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),"net.sourceforge.pmd.cli.BaseCliTest.CliExecutionResult.CliExecutionResult(java.io.ByteArrayOutputStream, java.io.ByteArrayOutputStream, net.sourceforge.pmd.cli.internal.CliExitCode)","net.sourceforge.pmd.cli.BaseCliTest.CliExecutionResult.CliExecutionResult(ByteArrayOutputStream, ByteArrayOutputStream, CliExitCode)","net.sourceforge.pmd.cli.BaseCliTest.CliExecutionResult.CliExecutionResult(ByteArrayOutputStream, ByteArrayOutputStream, CliExitCode)",#test-code #test-case-method,#test-code #test-helper-method,2,1,0,,
pmd,testExitCodeWithLexicalErrorsAndSkipLexical,cliStandardArgs,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-cli/src/test/java/net/sourceforge/pmd/cli/CpdCliTest.java#L373,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-cli/src/test/java/net/sourceforge/pmd/cli/BaseCliTest.java#L81,net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.CpdCliTest.testExitCodeWithLexicalErrorsAndSkipLexical(),net.sourceforge.pmd.cli.BaseCliTest.cliStandardArgs(),net.sourceforge.pmd.cli.BaseCliTest.cliStandardArgs(),net.sourceforge.pmd.cli.BaseCliTest.cliStandardArgs(),#test-code #test-case-method,#test-code #test-helper-method,2,1,0,,
pmd,testWildcardClasspathContentsChangeInvalidatesCache,isUpToDate,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-core/src/test/java/net/sourceforge/pmd/cache/internal/FileAnalysisCacheTest.java#L431,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-core/src/main/java/net/sourceforge/pmd/cache/internal/AbstractAnalysisCache.java#L64,net.sourceforge.pmd.cache.internal.FileAnalysisCacheTest.testWildcardClasspathContentsChangeInvalidatesCache(),net.sourceforge.pmd.cache.internal.FileAnalysisCacheTest.testWildcardClasspathContentsChangeInvalidatesCache(),net.sourceforge.pmd.cache.internal.FileAnalysisCacheTest.testWildcardClasspathContentsChangeInvalidatesCache(),net.sourceforge.pmd.cache.internal.AbstractAnalysisCache.isUpToDate(net.sourceforge.pmd.lang.document.TextDocument),net.sourceforge.pmd.cache.internal.AbstractAnalysisCache.isUpToDate(TextDocument),net.sourceforge.pmd.cache.internal.AbstractAnalysisCache.isUpToDate(TextDocument),#test-code #test-case-method,#main-code,2,1,0,,
pmd,testWildcardClasspathContentsChangeInvalidatesCache,persist,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-core/src/test/java/net/sourceforge/pmd/cache/internal/FileAnalysisCacheTest.java#L431,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-core/src/main/java/net/sourceforge/pmd/cache/internal/FileAnalysisCache.java#L115,net.sourceforge.pmd.cache.internal.FileAnalysisCacheTest.testWildcardClasspathContentsChangeInvalidatesCache(),net.sourceforge.pmd.cache.internal.FileAnalysisCacheTest.testWildcardClasspathContentsChangeInvalidatesCache(),net.sourceforge.pmd.cache.internal.FileAnalysisCacheTest.testWildcardClasspathContentsChangeInvalidatesCache(),net.sourceforge.pmd.cache.internal.FileAnalysisCache.persist(),net.sourceforge.pmd.cache.internal.FileAnalysisCache.persist(),net.sourceforge.pmd.cache.internal.FileAnalysisCache.persist(),#test-code #test-case-method,#main-code,2,1,0,,
pmd,testWildcardClasspathContentsChangeInvalidatesCache,FileAnalysisCache,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-core/src/test/java/net/sourceforge/pmd/cache/internal/FileAnalysisCacheTest.java#L431,https://github.com/pmd/pmd/blob/38c3567c01f9656c67d64496e1722866b1f6a8fb/pmd-core/src/main/java/net/sourceforge/pmd/cache/internal/FileAnalysisCache.java#L41,net.sourceforge.pmd.cache.internal.FileAnalysisCacheTest.testWildcardClasspathContentsChangeInvalidatesCache(),net.sourceforge.pmd.cache.internal.FileAnalysisCacheTest.testWildcardClasspathContentsChangeInvalidatesCache(),net.sourceforge.pmd.cache.internal.FileAnalysisCacheTest.testWildcardClasspathContentsChangeInvalidatesCache(),net.sourceforge.pmd.cache.internal.FileAnalysisCache.FileAnalysisCache(java.io.File),net.sourceforge.pmd.cache.internal.FileAnalysisCache.FileAnalysisCache(File),net.sourceforge.pmd.cache.internal.FileAnalysisCache.FileAnalysisCache(File),#test-code #test-case-method,#main-code,2,1,0,,
