project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
solr,testUnreferencedShardMetadataFilesAreDeleted,build,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/test/org/apache/solr/cloud/api/collections/PurgeGraphTest.java#L155,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/java/org/apache/solr/cloud/api/collections/DeleteBackupCmd.java#L287,org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),"org.apache.solr.cloud.api.collections.DeleteBackupCmd.PurgeGraph.build(org.apache.solr.core.backup.repository.BackupRepository, java.net.URI)","org.apache.solr.cloud.api.collections.DeleteBackupCmd.PurgeGraph.build(BackupRepository, URI)","org.apache.solr.cloud.api.collections.DeleteBackupCmd.PurgeGraph.build(BackupRepository, URI)",#test-code #test-case-method,#main-code,1,1,1,,
solr,testUnreferencedShardMetadataFilesAreDeleted,getShardBackupMetadataDir,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/test/org/apache/solr/cloud/api/collections/PurgeGraphTest.java#L155,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/java/org/apache/solr/core/backup/BackupFilePaths.java#L73,org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.core.backup.BackupFilePaths.getShardBackupMetadataDir(),org.apache.solr.core.backup.BackupFilePaths.getShardBackupMetadataDir(),org.apache.solr.core.backup.BackupFilePaths.getShardBackupMetadataDir(),#test-code #test-case-method,#main-code,2,1,0,,
solr,testUnreferencedShardMetadataFilesAreDeleted,getBackupLocation,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/test/org/apache/solr/cloud/api/collections/PurgeGraphTest.java#L155,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/java/org/apache/solr/core/backup/BackupFilePaths.java#L77,org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.core.backup.BackupFilePaths.getBackupLocation(),org.apache.solr.core.backup.BackupFilePaths.getBackupLocation(),org.apache.solr.core.backup.BackupFilePaths.getBackupLocation(),#test-code #test-case-method,#main-code,1,1,0,,
solr,testUnreferencedShardMetadataFilesAreDeleted,BackupId,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/test/org/apache/solr/cloud/api/collections/PurgeGraphTest.java#L155,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/java/org/apache/solr/core/backup/BackupId.java#L37,org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.core.backup.BackupId.BackupId(int),org.apache.solr.core.backup.BackupId.BackupId(int),org.apache.solr.core.backup.BackupId.BackupId(int),#test-code #test-case-method,#main-code,2,1,0,,
solr,testUnreferencedShardMetadataFilesAreDeleted,Checksum,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/test/org/apache/solr/cloud/api/collections/PurgeGraphTest.java#L155,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/java/org/apache/solr/core/backup/Checksum.java#L27,org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),"org.apache.solr.core.backup.Checksum.Checksum(long, long)","org.apache.solr.core.backup.Checksum.Checksum(long, long)","org.apache.solr.core.backup.Checksum.Checksum(long, long)",#test-code #test-case-method,#main-code,2,1,0,,
solr,testUnreferencedShardMetadataFilesAreDeleted,ShardBackupId,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/test/org/apache/solr/cloud/api/collections/PurgeGraphTest.java#L155,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/java/org/apache/solr/core/backup/ShardBackupId.java#L38,org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),"org.apache.solr.core.backup.ShardBackupId.ShardBackupId(java.lang.String, org.apache.solr.core.backup.BackupId)","org.apache.solr.core.backup.ShardBackupId.ShardBackupId(String, BackupId)","org.apache.solr.core.backup.ShardBackupId.ShardBackupId(String, BackupId)",#test-code #test-case-method,#main-code,2,1,0,,
solr,testUnreferencedShardMetadataFilesAreDeleted,store,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/test/org/apache/solr/cloud/api/collections/PurgeGraphTest.java#L155,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/java/org/apache/solr/core/backup/ShardBackupMetadata.java#L109,org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),"org.apache.solr.core.backup.ShardBackupMetadata.store(org.apache.solr.core.backup.repository.BackupRepository, java.net.URI, org.apache.solr.core.backup.ShardBackupId)","org.apache.solr.core.backup.ShardBackupMetadata.store(BackupRepository, URI, ShardBackupId)","org.apache.solr.core.backup.ShardBackupMetadata.store(BackupRepository, URI, ShardBackupId)",#test-code #test-case-method,#main-code,2,1,0,,
solr,testUnreferencedShardMetadataFilesAreDeleted,addBackedFile,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/test/org/apache/solr/cloud/api/collections/PurgeGraphTest.java#L155,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/java/org/apache/solr/core/backup/ShardBackupMetadata.java#L53,org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),"org.apache.solr.core.backup.ShardBackupMetadata.addBackedFile(java.lang.String, java.lang.String, org.apache.solr.core.backup.Checksum)","org.apache.solr.core.backup.ShardBackupMetadata.addBackedFile(String, String, Checksum)","org.apache.solr.core.backup.ShardBackupMetadata.addBackedFile(String, String, Checksum)",#test-code #test-case-method,#main-code,2,1,0,,
solr,testUnreferencedShardMetadataFilesAreDeleted,empty,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/test/org/apache/solr/cloud/api/collections/PurgeGraphTest.java#L155,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/java/org/apache/solr/core/backup/ShardBackupMetadata.java#L78,org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.core.backup.ShardBackupMetadata.empty(),org.apache.solr.core.backup.ShardBackupMetadata.empty(),org.apache.solr.core.backup.ShardBackupMetadata.empty(),#test-code #test-case-method,#main-code,2,1,0,,
solr,testUnreferencedShardMetadataFilesAreDeleted,createShardMetadataFile,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/test/org/apache/solr/cloud/api/collections/PurgeGraphTest.java#L155,https://github.com/apache/solr/blob/640428af236008d1d3050278c4fbb6ff15d53ad6/solr/core/src/test/org/apache/solr/cloud/api/collections/PurgeGraphTest.java#L218,org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),org.apache.solr.cloud.api.collections.PurgeGraphTest.testUnreferencedShardMetadataFilesAreDeleted(),"org.apache.solr.cloud.api.collections.PurgeGraphTest.createShardMetadataFile(int, java.lang.String, java.util.Map<java.lang.String, java.lang.String>)","org.apache.solr.cloud.api.collections.PurgeGraphTest.createShardMetadataFile(int, String, Map)","org.apache.solr.cloud.api.collections.PurgeGraphTest.createShardMetadataFile(int, String, Map)",#test-code #test-case-method,#test-code #test-helper-method,1,1,0,,
