project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
spring-boot,projectGroupIsReflectedInProperties,generateBuildProperties,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/buildinfo/BuildInfoTests.java#L74,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/build-plugin/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/buildinfo/BuildInfo.java#L67,org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfo.generateBuildProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfo.generateBuildProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfo.generateBuildProperties(),#test-code #test-case-method,#main-code,2,1,1,,
spring-boot,projectGroupIsReflectedInProperties,getDestinationDir,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/buildinfo/BuildInfoTests.java#L74,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/build-plugin/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/buildinfo/BuildInfo.java#L87,org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfo.getDestinationDir(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfo.getDestinationDir(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfo.getDestinationDir(),#test-code #test-case-method,#main-code,2,1,0,,
spring-boot,projectGroupIsReflectedInProperties,load,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/buildinfo/BuildInfoTests.java#L74,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/build-plugin/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/bundling/BootZipCopyAction.java#L575,org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.bundling.BootZipCopyAction.StoredEntryPreparator.load(java.io.InputStream),org.springframework.boot.gradle.tasks.bundling.BootZipCopyAction.StoredEntryPreparator.load(InputStream),org.springframework.boot.gradle.tasks.bundling.BootZipCopyAction.StoredEntryPreparator.load(InputStream),#test-code #test-case-method,#main-code,3,1,0,,
spring-boot,projectGroupIsReflectedInProperties,createProject,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/buildinfo/BuildInfoTests.java#L74,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/buildinfo/BuildInfoTests.java#L174,org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.createProject(java.lang.String),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.createProject(String),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.createProject(String),#test-code #test-case-method,#test-code #test-helper-method,1,1,0,,
spring-boot,projectGroupIsReflectedInProperties,createTask,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/buildinfo/BuildInfoTests.java#L74,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/buildinfo/BuildInfoTests.java#L179,org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.createTask(org.gradle.api.Project),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.createTask(Project),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.createTask(Project),#test-code #test-case-method,#test-code #test-helper-method,1,1,0,,
spring-boot,projectGroupIsReflectedInProperties,buildInfoProperties,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/buildinfo/BuildInfoTests.java#L74,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/buildinfo/BuildInfoTests.java#L183,org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.buildInfoProperties(org.springframework.boot.gradle.tasks.buildinfo.BuildInfo),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.buildInfoProperties(BuildInfo),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.buildInfoProperties(BuildInfo),#test-code #test-case-method,#test-code #test-helper-method,1,1,0,,
spring-boot,projectGroupIsReflectedInProperties,get,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/buildinfo/BuildInfoTests.java#L74,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/buildSrc/src/main/java/org/springframework/boot/build/antora/AntoraAsciidocAttributes.java#L121,org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.build.antora.AntoraAsciidocAttributes.get(),org.springframework.boot.build.antora.AntoraAsciidocAttributes.get(),org.springframework.boot.build.antora.AntoraAsciidocAttributes.get(),#test-code #test-case-method,#main-code,2,1,0,,
spring-boot,projectGroupIsReflectedInProperties,getProject,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/buildinfo/BuildInfoTests.java#L74,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/buildSrc/src/main/java/org/springframework/boot/build/antora/Contribution.java#L50,org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.build.antora.Contribution.getProject(),org.springframework.boot.build.antora.Contribution.getProject(),org.springframework.boot.build.antora.Contribution.getProject(),#test-code #test-case-method,#main-code,1,1,0,,
spring-boot,projectGroupIsReflectedInProperties,Properties,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/buildinfo/BuildInfoTests.java#L74,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/buildSrc/src/main/java/org/springframework/boot/build/bom/BomResolver.java#L257,org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),"org.springframework.boot.build.bom.BomResolver.Properties.Properties(java.util.Map<java.lang.String, java.lang.String>)",org.springframework.boot.build.bom.BomResolver.Properties.Properties(Map),org.springframework.boot.build.bom.BomResolver.Properties.Properties(Map),#test-code #test-case-method,#main-code,3,1,0,,
spring-boot,projectGroupIsReflectedInProperties,register,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/buildinfo/BuildInfoTests.java#L74,https://github.com/spring-projects/spring-boot/blob/f8f1da605e936a62d1d3028e222d7e9f14f742cd/core/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/AutoConfigurationPackages.java#L95,org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),org.springframework.boot.gradle.tasks.buildinfo.BuildInfoTests.projectGroupIsReflectedInProperties(),"org.springframework.boot.autoconfigure.AutoConfigurationPackages.register(org.springframework.beans.factory.support.BeanDefinitionRegistry, java.lang.String[])","org.springframework.boot.autoconfigure.AutoConfigurationPackages.register(BeanDefinitionRegistry, String[])","org.springframework.boot.autoconfigure.AutoConfigurationPackages.register(BeanDefinitionRegistry, String[])",#test-code #test-case-method,#main-code,2,1,0,,
