project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,label,tags,notes
spring-framework,advisorEventsWithPointcutRef,getBeanDefinitions,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-aop/src/test/java/org/springframework/aop/config/AopNamespaceHandlerEventTests.java#L91,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-aop/src/main/java/org/springframework/aop/config/AdvisorComponentDefinition.java#L104,org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AdvisorComponentDefinition.getBeanDefinitions(),org.springframework.aop.config.AdvisorComponentDefinition.getBeanDefinitions(),org.springframework.aop.config.AdvisorComponentDefinition.getBeanDefinitions(),#test-code #test-case-method,#main-code,1,0,,
spring-framework,advisorEventsWithPointcutRef,getBeanReferences,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-aop/src/test/java/org/springframework/aop/config/AopNamespaceHandlerEventTests.java#L91,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-aop/src/main/java/org/springframework/aop/config/AdvisorComponentDefinition.java#L109,org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AdvisorComponentDefinition.getBeanReferences(),org.springframework.aop.config.AdvisorComponentDefinition.getBeanReferences(),org.springframework.aop.config.AdvisorComponentDefinition.getBeanReferences(),#test-code #test-case-method,#main-code,1,0,,
spring-framework,advisorEventsWithPointcutRef,getBeanName,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-aop/src/test/java/org/springframework/aop/config/AopNamespaceHandlerEventTests.java#L91,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-beans/src/main/java/org/springframework/beans/factory/config/BeanDefinitionHolder.java#L98,org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.beans.factory.config.BeanDefinitionHolder.getBeanName(),org.springframework.beans.factory.config.BeanDefinitionHolder.getBeanName(),org.springframework.beans.factory.config.BeanDefinitionHolder.getBeanName(),#test-code #test-case-method,#main-code,1,0,,
spring-framework,advisorEventsWithPointcutRef,getName,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-aop/src/test/java/org/springframework/aop/config/AopNamespaceHandlerEventTests.java#L91,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-beans/src/main/java/org/springframework/beans/factory/parsing/CompositeComponentDefinition.java#L57,org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.beans.factory.parsing.CompositeComponentDefinition.getName(),org.springframework.beans.factory.parsing.CompositeComponentDefinition.getName(),org.springframework.beans.factory.parsing.CompositeComponentDefinition.getName(),#test-code #test-case-method,#main-code,1,0,,
spring-framework,advisorEventsWithPointcutRef,getNestedComponents,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-aop/src/test/java/org/springframework/aop/config/AopNamespaceHandlerEventTests.java#L91,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-beans/src/main/java/org/springframework/beans/factory/parsing/CompositeComponentDefinition.java#L80,org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.beans.factory.parsing.CompositeComponentDefinition.getNestedComponents(),org.springframework.beans.factory.parsing.CompositeComponentDefinition.getNestedComponents(),org.springframework.beans.factory.parsing.CompositeComponentDefinition.getNestedComponents(),#test-code #test-case-method,#main-code,1,0,,
spring-framework,advisorEventsWithPointcutRef,loadBeanDefinitions,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-aop/src/test/java/org/springframework/aop/config/AopNamespaceHandlerEventTests.java#L91,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-beans/src/main/java/org/springframework/beans/factory/xml/XmlBeanDefinitionReader.java#L316,org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(org.springframework.core.io.Resource),org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(Resource),org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(Resource),#test-code #test-case-method,#main-code,1,1,,
spring-framework,advisorEventsWithPointcutRef,getComponentDefinitions,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-aop/src/test/java/org/springframework/aop/config/AopNamespaceHandlerEventTests.java#L91,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-beans/src/testFixtures/java/org/springframework/beans/testfixture/beans/CollectingReaderEventListener.java#L65,org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.beans.testfixture.beans.CollectingReaderEventListener.getComponentDefinitions(),org.springframework.beans.testfixture.beans.CollectingReaderEventListener.getComponentDefinitions(),org.springframework.beans.testfixture.beans.CollectingReaderEventListener.getComponentDefinitions(),#test-code #test-case-method,#main-code,1,0,,
spring-framework,advisorEventsWithPointcutRef,as,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-aop/src/test/java/org/springframework/aop/config/AopNamespaceHandlerEventTests.java#L91,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-core/src/main/java/org/springframework/core/ResolvableType.java#L484,org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.core.ResolvableType.as(java.lang.Class<?>),org.springframework.core.ResolvableType.as(Class),org.springframework.core.ResolvableType.as(Class),#test-code #test-case-method,#main-code,1,0,,
spring-framework,advisorEventsWithPointcutRef,hasSize,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-aop/src/test/java/org/springframework/aop/config/AopNamespaceHandlerEventTests.java#L91,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-test/src/main/java/org/springframework/test/http/HttpHeadersAssert.java#L271,org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.test.http.HttpHeadersAssert.hasSize(int),org.springframework.test.http.HttpHeadersAssert.hasSize(int),org.springframework.test.http.HttpHeadersAssert.hasSize(int),#test-code #test-case-method,#main-code,1,0,,
spring-framework,advisorEventsWithPointcutRef,HttpHeadersAssert,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-aop/src/test/java/org/springframework/aop/config/AopNamespaceHandlerEventTests.java#L91,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-test/src/main/java/org/springframework/test/http/HttpHeadersAssert.java#L47,org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.test.http.HttpHeadersAssert.HttpHeadersAssert(org.springframework.http.HttpHeaders),org.springframework.test.http.HttpHeadersAssert.HttpHeadersAssert(HttpHeaders),org.springframework.test.http.HttpHeadersAssert.HttpHeadersAssert(HttpHeaders),#test-code #test-case-method,#main-code,2,0,,
spring-framework,advisorEventsWithPointcutRef,isEqualTo,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-aop/src/test/java/org/springframework/aop/config/AopNamespaceHandlerEventTests.java#L91,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-test/src/main/java/org/springframework/test/http/MediaTypeAssert.java#L55,org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.test.http.MediaTypeAssert.isEqualTo(java.lang.String),org.springframework.test.http.MediaTypeAssert.isEqualTo(String),org.springframework.test.http.MediaTypeAssert.isEqualTo(String),#test-code #test-case-method,#main-code,1,0,,
spring-framework,advisorEventsWithPointcutRef,assertThat,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-aop/src/test/java/org/springframework/aop/config/AopNamespaceHandlerEventTests.java#L91,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-test/src/test/java/org/springframework/test/http/HttpHeadersAssertTests.java#L459,org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.aop.config.AopNamespaceHandlerEventTests.advisorEventsWithPointcutRef(),org.springframework.test.http.HttpHeadersAssertTests.assertThat(org.springframework.http.HttpHeaders),org.springframework.test.http.HttpHeadersAssertTests.assertThat(HttpHeaders),org.springframework.test.http.HttpHeadersAssertTests.assertThat(HttpHeaders),#test-code #test-case-method,#test-code #test-helper-method,1,0,,
spring-framework,getBeanWhenUsingRegularSupplier,setInstanceSupplier,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-beans/src/test/java/org/springframework/beans/factory/support/BeanFactorySupplierTests.java#L38,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-beans/src/main/java/org/springframework/beans/factory/support/AbstractBeanDefinition.java#L841,org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.AbstractBeanDefinition.setInstanceSupplier(java.util.function.Supplier<?>),org.springframework.beans.factory.support.AbstractBeanDefinition.setInstanceSupplier(Supplier),org.springframework.beans.factory.support.AbstractBeanDefinition.setInstanceSupplier(Supplier),#test-code #test-case-method,#main-code,1,0,,
