project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
commons-lang,testGetFieldForceAccess,getField,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/test/java/org/apache/commons/lang3/reflect/FieldUtilsTest.java#L123,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/main/java/org/apache/commons/lang3/reflect/FieldUtils.java#L85,org.apache.commons.lang3.reflect.FieldUtilsTest.testGetFieldForceAccess(),org.apache.commons.lang3.reflect.FieldUtilsTest.testGetFieldForceAccess(),org.apache.commons.lang3.reflect.FieldUtilsTest.testGetFieldForceAccess(),"org.apache.commons.lang3.reflect.FieldUtils.getField(java.lang.Class<?>, java.lang.String, boolean)","org.apache.commons.lang3.reflect.FieldUtils.getField(Class, String, boolean)","org.apache.commons.lang3.reflect.FieldUtils.getField(Class, String, boolean)",#test-code #test-case-method,#main-code,1,1,1,,
commons-lang,testDefaultIfBlank_CharBuffers,defaultIfBlank,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/test/java/org/apache/commons/lang3/StringUtilsTest.java#L1947,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/main/java/org/apache/commons/lang3/StringUtils.java#L7406,org.apache.commons.lang3.StringUtilsTest.testDefaultIfBlank_CharBuffers(),org.apache.commons.lang3.StringUtilsTest.testDefaultIfBlank_CharBuffers(),org.apache.commons.lang3.StringUtilsTest.testDefaultIfBlank_CharBuffers(),"org.apache.commons.lang3.StringUtils.defaultIfBlank(T, T)","org.apache.commons.lang3.StringUtils.defaultIfBlank(T, T)","org.apache.commons.lang3.StringUtils.defaultIfBlank(T, T)",#test-code #test-case-method,#main-code,1,1,1,,
commons-lang,testDefaultIfBlank_CharBuffers,toString,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/test/java/org/apache/commons/lang3/StringUtilsTest.java#L1947,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/test/java/org/apache/commons/lang3/StringUtilsTest.java#L89,org.apache.commons.lang3.StringUtilsTest.testDefaultIfBlank_CharBuffers(),org.apache.commons.lang3.StringUtilsTest.testDefaultIfBlank_CharBuffers(),org.apache.commons.lang3.StringUtilsTest.testDefaultIfBlank_CharBuffers(),java.nio.CharBuffer.toString(),org.apache.commons.lang3.StringUtilsTest.$1.toString(),java.nio.CharBuffer.toString(),#test-code #test-case-method,#test-code #test-helper-method,1,1,,,
commons-lang,testStaticReplacePrefixSuffix,replace,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/test/java/org/apache/commons/lang3/text/StrSubstitutorTest.java#L569,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/main/java/org/apache/commons/lang3/text/StrSubstitutor.java#L205,org.apache.commons.lang3.text.StrSubstitutorTest.testStaticReplacePrefixSuffix(),org.apache.commons.lang3.text.StrSubstitutorTest.testStaticReplacePrefixSuffix(),org.apache.commons.lang3.text.StrSubstitutorTest.testStaticReplacePrefixSuffix(),"org.apache.commons.lang3.text.StrSubstitutor.replace(java.lang.Object, java.util.Map<java.lang.String, V>, java.lang.String, java.lang.String)","org.apache.commons.lang3.text.StrSubstitutor.replace(Object, Map, String, String)","org.apache.commons.lang3.text.StrSubstitutor.replace(Object, Map, String, String)",#test-code #test-case-method,#main-code,1,1,1,,
commons-lang,testObjectRecursiveCycleSelfreference,isEquals,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/test/java/org/apache/commons/lang3/builder/EqualsBuilderTest.java#L445,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/main/java/org/apache/commons/lang3/builder/EqualsBuilder.java#L1079,org.apache.commons.lang3.builder.EqualsBuilderTest.testObjectRecursiveCycleSelfreference(),org.apache.commons.lang3.builder.EqualsBuilderTest.testObjectRecursiveCycleSelfreference(),org.apache.commons.lang3.builder.EqualsBuilderTest.testObjectRecursiveCycleSelfreference(),org.apache.commons.lang3.builder.EqualsBuilder.isEquals(),org.apache.commons.lang3.builder.EqualsBuilder.isEquals(),org.apache.commons.lang3.builder.EqualsBuilder.isEquals(),#test-code #test-case-method,#main-code,1,1,1,,
commons-lang,testObjectRecursiveCycleSelfreference,setTestRecursive,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/test/java/org/apache/commons/lang3/builder/EqualsBuilderTest.java#L445,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/main/java/org/apache/commons/lang3/builder/EqualsBuilder.java#L248,org.apache.commons.lang3.builder.EqualsBuilderTest.testObjectRecursiveCycleSelfreference(),org.apache.commons.lang3.builder.EqualsBuilderTest.testObjectRecursiveCycleSelfreference(),org.apache.commons.lang3.builder.EqualsBuilderTest.testObjectRecursiveCycleSelfreference(),org.apache.commons.lang3.builder.EqualsBuilder.setTestRecursive(boolean),org.apache.commons.lang3.builder.EqualsBuilder.setTestRecursive(boolean),org.apache.commons.lang3.builder.EqualsBuilder.setTestRecursive(boolean),#test-code #test-case-method,#main-code,1,1,1,,
commons-lang,testObjectRecursiveCycleSelfreference,TestRecursiveCycleObject,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/test/java/org/apache/commons/lang3/builder/EqualsBuilderTest.java#L445,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/test/java/org/apache/commons/lang3/builder/EqualsBuilderTest.java#L212,org.apache.commons.lang3.builder.EqualsBuilderTest.testObjectRecursiveCycleSelfreference(),org.apache.commons.lang3.builder.EqualsBuilderTest.testObjectRecursiveCycleSelfreference(),org.apache.commons.lang3.builder.EqualsBuilderTest.testObjectRecursiveCycleSelfreference(),org.apache.commons.lang3.builder.EqualsBuilderTest.TestRecursiveCycleObject.TestRecursiveCycleObject(int),org.apache.commons.lang3.builder.EqualsBuilderTest.TestRecursiveCycleObject.TestRecursiveCycleObject(int),org.apache.commons.lang3.builder.EqualsBuilderTest.TestRecursiveCycleObject.TestRecursiveCycleObject(int),#test-code #test-case-method,#test-code #test-helper-method,1,1,,,
commons-lang,testObjectRecursiveCycleSelfreference,EqualsBuilder,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/test/java/org/apache/commons/lang3/builder/EqualsBuilderTest.java#L445,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/main/java/org/apache/commons/lang3/builder/EqualsBuilder.java#L225,org.apache.commons.lang3.builder.EqualsBuilderTest.testObjectRecursiveCycleSelfreference(),org.apache.commons.lang3.builder.EqualsBuilderTest.testObjectRecursiveCycleSelfreference(),org.apache.commons.lang3.builder.EqualsBuilderTest.testObjectRecursiveCycleSelfreference(),org.apache.commons.lang3.builder.EqualsBuilder.EqualsBuilder(),org.apache.commons.lang3.builder.EqualsBuilder.EqualsBuilder(),org.apache.commons.lang3.builder.EqualsBuilder.EqualsBuilder(),#test-code #test-case-method,#main-code,1,1,,,
commons-lang,testObjectRecursiveCycleSelfreference,append,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/test/java/org/apache/commons/lang3/builder/EqualsBuilderTest.java#L445,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/main/java/org/apache/commons/lang3/builder/EqualsBuilder.java#L596,org.apache.commons.lang3.builder.EqualsBuilderTest.testObjectRecursiveCycleSelfreference(),org.apache.commons.lang3.builder.EqualsBuilderTest.testObjectRecursiveCycleSelfreference(),org.apache.commons.lang3.builder.EqualsBuilderTest.testObjectRecursiveCycleSelfreference(),"org.apache.commons.lang3.builder.EqualsBuilder.append(java.lang.Object, java.lang.Object)","org.apache.commons.lang3.builder.EqualsBuilder.append(Object, Object)","org.apache.commons.lang3.builder.EqualsBuilder.append(TestRecursiveCycleObject, TestRecursiveCycleObject)",#test-code #test-case-method,#main-code,1,1,,,
commons-lang,testFloatArray,append,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/test/java/org/apache/commons/lang3/builder/ToStringBuilderTest.java#L1025,https://github.com/apache/commons-lang/blob/425d8085cfcaab5a78bf0632f9ae77b7e9127cf8/src/main/java/org/apache/commons/lang3/builder/ToStringBuilder.java#L399,org.apache.commons.lang3.builder.ToStringBuilderTest.testFloatArray(),org.apache.commons.lang3.builder.ToStringBuilderTest.testFloatArray(),org.apache.commons.lang3.builder.ToStringBuilderTest.testFloatArray(),org.apache.commons.lang3.builder.ToStringBuilder.append(float[]),org.apache.commons.lang3.builder.ToStringBuilder.append(float[]),org.apache.commons.lang3.builder.ToStringBuilder.append(float[]),#test-code #test-case-method,#main-code,1,1,1,,
