project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
jfreechart,testDrawWithNullInfo,createBufferedImage,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/renderer/category/GroupedStackedBarRendererTest.java#L124,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/chart/JFreeChart.java#L1377,org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),"org.jfree.chart.JFreeChart.createBufferedImage(int, int, org.jfree.chart.ChartRenderingInfo)","org.jfree.chart.JFreeChart.createBufferedImage(int, int, ChartRenderingInfo)","org.jfree.chart.JFreeChart.createBufferedImage(int, int, ChartRenderingInfo)",#test-code #test-case-method,#main-code,1,1,1,,
jfreechart,testDrawWithNullInfo,DefaultCategoryDataset,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/renderer/category/GroupedStackedBarRendererTest.java#L124,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/data/category/DefaultCategoryDataset.java#L75,org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.data.category.DefaultCategoryDataset.DefaultCategoryDataset(),org.jfree.data.category.DefaultCategoryDataset.DefaultCategoryDataset(),org.jfree.data.category.DefaultCategoryDataset.DefaultCategoryDataset(),#test-code #test-case-method,#main-code,1,1,,,
jfreechart,testDrawWithNullInfo,addValue,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/renderer/category/GroupedStackedBarRendererTest.java#L124,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/data/category/DefaultCategoryDataset.java#L245,org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),"org.jfree.data.category.DefaultCategoryDataset.addValue(double, java.lang.Comparable, java.lang.Comparable)","org.jfree.data.category.DefaultCategoryDataset.addValue(double, Comparable, Comparable)","org.jfree.data.category.DefaultCategoryDataset.addValue(double, String, String)",#test-code #test-case-method,#main-code,1,1,,,
jfreechart,testDrawWithNullInfo,GroupedStackedBarRenderer,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/renderer/category/GroupedStackedBarRendererTest.java#L124,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/chart/renderer/category/GroupedStackedBarRenderer.java#L92,org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRenderer.GroupedStackedBarRenderer(),org.jfree.chart.renderer.category.GroupedStackedBarRenderer.GroupedStackedBarRenderer(),org.jfree.chart.renderer.category.GroupedStackedBarRenderer.GroupedStackedBarRenderer(),#test-code #test-case-method,#main-code,1,1,,,
jfreechart,testDrawWithNullInfo,CategoryAxis,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/renderer/category/GroupedStackedBarRendererTest.java#L124,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/chart/axis/CategoryAxis.java#L214,org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.axis.CategoryAxis.CategoryAxis(java.lang.String),org.jfree.chart.axis.CategoryAxis.CategoryAxis(String),org.jfree.chart.axis.CategoryAxis.CategoryAxis(String),#test-code #test-case-method,#main-code,1,1,,,
jfreechart,testDrawWithNullInfo,NumberAxis,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/renderer/category/GroupedStackedBarRendererTest.java#L124,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/chart/axis/NumberAxis.java#L201,org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.axis.NumberAxis.NumberAxis(java.lang.String),org.jfree.chart.axis.NumberAxis.NumberAxis(String),org.jfree.chart.axis.NumberAxis.NumberAxis(String),#test-code #test-case-method,#main-code,1,1,,,
jfreechart,testDrawWithNullInfo,CategoryPlot,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/renderer/category/GroupedStackedBarRendererTest.java#L124,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/chart/plot/CategoryPlot.java#L579,org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),"org.jfree.chart.plot.CategoryPlot.CategoryPlot(org.jfree.data.category.CategoryDataset, org.jfree.chart.axis.CategoryAxis, org.jfree.chart.axis.ValueAxis, org.jfree.chart.renderer.category.CategoryItemRenderer)","org.jfree.chart.plot.CategoryPlot.CategoryPlot(CategoryDataset, CategoryAxis, ValueAxis, CategoryItemRenderer)","org.jfree.chart.plot.CategoryPlot.CategoryPlot(CategoryDataset, CategoryAxis, ValueAxis, CategoryItemRenderer)",#test-code #test-case-method,#main-code,1,1,,,
jfreechart,testDrawWithNullInfo,JFreeChart,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/renderer/category/GroupedStackedBarRendererTest.java#L124,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/chart/JFreeChart.java#L355,org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),org.jfree.chart.JFreeChart.JFreeChart(org.jfree.chart.plot.Plot),org.jfree.chart.JFreeChart.JFreeChart(Plot),org.jfree.chart.JFreeChart.JFreeChart(Plot),#test-code #test-case-method,#main-code,1,1,,,
jfreechart,testCloning2,clone,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/data/xy/CategoryTableXYDatasetTest.java#L111,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/data/xy/CategoryTableXYDataset.java#L417,org.jfree.data.xy.CategoryTableXYDatasetTest.testCloning2(),org.jfree.data.xy.CategoryTableXYDatasetTest.testCloning2(),org.jfree.data.xy.CategoryTableXYDatasetTest.testCloning2(),org.jfree.data.xy.CategoryTableXYDataset.clone(),org.jfree.data.xy.CategoryTableXYDataset.clone(),org.jfree.data.xy.CategoryTableXYDataset.clone(),#test-code #test-case-method,#main-code,1,1,1,,
jfreechart,testCloning2,CategoryTableXYDataset,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/data/xy/CategoryTableXYDatasetTest.java#L111,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/data/xy/CategoryTableXYDataset.java#L87,org.jfree.data.xy.CategoryTableXYDatasetTest.testCloning2(),org.jfree.data.xy.CategoryTableXYDatasetTest.testCloning2(),org.jfree.data.xy.CategoryTableXYDatasetTest.testCloning2(),org.jfree.data.xy.CategoryTableXYDataset.CategoryTableXYDataset(),org.jfree.data.xy.CategoryTableXYDataset.CategoryTableXYDataset(),org.jfree.data.xy.CategoryTableXYDataset.CategoryTableXYDataset(),#test-code #test-case-method,#main-code,1,1,,,
