project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
dubbo,testFutureContext,setFuture,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/FutureContextTest.java#L30,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/FutureContext.java#L76,org.apache.dubbo.rpc.FutureContextTest.testFutureContext(),org.apache.dubbo.rpc.FutureContextTest.testFutureContext(),org.apache.dubbo.rpc.FutureContextTest.testFutureContext(),org.apache.dubbo.rpc.FutureContext.setFuture(java.util.concurrent.CompletableFuture<?>),org.apache.dubbo.rpc.FutureContext.setFuture(CompletableFuture),org.apache.dubbo.rpc.FutureContext.setFuture(CompletableFuture),#test-code #test-case-method,#main-code,1,1,1,,
dubbo,testFutureContext,getContext,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/FutureContextTest.java#L30,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/FutureContext.java#L41,org.apache.dubbo.rpc.FutureContextTest.testFutureContext(),org.apache.dubbo.rpc.FutureContextTest.testFutureContext(),org.apache.dubbo.rpc.FutureContextTest.testFutureContext(),org.apache.dubbo.rpc.FutureContext.getContext(),org.apache.dubbo.rpc.FutureContext.getContext(),org.apache.dubbo.rpc.FutureContext.getContext(),#test-code #test-case-method,#main-code,1,1,1,,
dubbo,testFutureContext,getCompletableFuture,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/FutureContextTest.java#L30,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/FutureContext.java#L61,org.apache.dubbo.rpc.FutureContextTest.testFutureContext(),org.apache.dubbo.rpc.FutureContextTest.testFutureContext(),org.apache.dubbo.rpc.FutureContextTest.testFutureContext(),org.apache.dubbo.rpc.FutureContext.getCompletableFuture(),org.apache.dubbo.rpc.FutureContext.getCompletableFuture(),org.apache.dubbo.rpc.FutureContext.getCompletableFuture(),#test-code #test-case-method,#main-code,1,1,1,,
dubbo,testNonEcho,invoke,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/EchoFilterTest.java#L51,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/filter/EchoFilter.java#L37,org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),"org.apache.dubbo.rpc.filter.EchoFilter.invoke(org.apache.dubbo.rpc.Invoker<?>, org.apache.dubbo.rpc.Invocation)","org.apache.dubbo.rpc.filter.EchoFilter.invoke(Invoker, Invocation)","org.apache.dubbo.rpc.filter.EchoFilter.invoke(Invoker, Invocation)",#test-code #test-case-method,#main-code,,0,1,,
dubbo,testNonEcho,createMockRpcInvocation,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/EchoFilterTest.java#L51,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/EchoFilterTest.java#L60,org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.filter.EchoFilterTest.createMockRpcInvocation(),org.apache.dubbo.rpc.filter.EchoFilterTest.createMockRpcInvocation(),org.apache.dubbo.rpc.filter.EchoFilterTest.createMockRpcInvocation(),#test-code #test-case-method,#test-code #test-helper-method,1,1,,,
dubbo,testNonEcho,getObjectAttachments,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/EchoFilterTest.java#L51,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/Invocation.java#L92,org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.Invocation.getObjectAttachments(),org.apache.dubbo.rpc.Invocation.getObjectAttachments(),org.apache.dubbo.rpc.Invocation.getObjectAttachments(),#test-code #test-case-method,#main-code,2,1,,,
dubbo,testNonEcho,getArguments,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/EchoFilterTest.java#L51,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/Invocation.java#L81,org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.Invocation.getArguments(),org.apache.dubbo.rpc.Invocation.getArguments(),org.apache.dubbo.rpc.Invocation.getArguments(),#test-code #test-case-method,#main-code,2,1,,,
dubbo,testNonEcho,getParameterTypes,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/EchoFilterTest.java#L51,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/Invocation.java#L64,org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.Invocation.getParameterTypes(),org.apache.dubbo.rpc.Invocation.getParameterTypes(),org.apache.dubbo.rpc.Invocation.getParameterTypes(),#test-code #test-case-method,#main-code,2,1,,,
dubbo,testNonEcho,createMockInvoker,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/EchoFilterTest.java#L51,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/EchoFilterTest.java#L68,org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.filter.EchoFilterTest.createMockInvoker(org.apache.dubbo.rpc.Invocation),org.apache.dubbo.rpc.filter.EchoFilterTest.createMockInvoker(Invocation),org.apache.dubbo.rpc.filter.EchoFilterTest.createMockInvoker(Invocation),#test-code #test-case-method,#test-code #test-helper-method,1,1,,,
dubbo,testNonEcho,getUrl,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/EchoFilterTest.java#L51,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-common/src/main/java/org/apache/dubbo/common/Node.java#L29,org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),org.apache.dubbo.common.Node.getUrl(),org.apache.dubbo.common.Node.getUrl(),org.apache.dubbo.common.Node.getUrl(),#test-code #test-case-method,#main-code,2,1,,,
