project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,candidate,label,tags,notes
jenkins,getConfiguredRootUrl,getRootUrl,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/model/JenkinsGetRootUrlTest.java#L59,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/jenkins/model/Jenkins.java#L2447,jenkins.model.JenkinsGetRootUrlTest.getConfiguredRootUrl(),jenkins.model.JenkinsGetRootUrlTest.getConfiguredRootUrl(),jenkins.model.JenkinsGetRootUrlTest.getConfiguredRootUrl(),jenkins.model.Jenkins.getRootUrl(),jenkins.model.Jenkins.getRootUrl(),jenkins.model.Jenkins.getRootUrl(),#test-code #test-case-method,#main-code,2,1,1,,
jenkins,getConfiguredRootUrl,configured,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/model/JenkinsGetRootUrlTest.java#L59,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/model/JenkinsGetRootUrlTest.java#L216,jenkins.model.JenkinsGetRootUrlTest.getConfiguredRootUrl(),jenkins.model.JenkinsGetRootUrlTest.getConfiguredRootUrl(),jenkins.model.JenkinsGetRootUrlTest.getConfiguredRootUrl(),jenkins.model.JenkinsGetRootUrlTest.configured(java.lang.String),jenkins.model.JenkinsGetRootUrlTest.configured(String),jenkins.model.JenkinsGetRootUrlTest.configured(String),#test-code #test-case-method,#test-code #test-helper-method,1,1,,,
jenkins,getConfiguredRootUrl,getUrl,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/model/JenkinsGetRootUrlTest.java#L59,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/jenkins/model/JenkinsLocationConfiguration.java#L134,jenkins.model.JenkinsGetRootUrlTest.getConfiguredRootUrl(),jenkins.model.JenkinsGetRootUrlTest.getConfiguredRootUrl(),jenkins.model.JenkinsGetRootUrlTest.getConfiguredRootUrl(),jenkins.model.JenkinsLocationConfiguration.getUrl(),jenkins.model.JenkinsLocationConfiguration.getUrl(),jenkins.model.JenkinsLocationConfiguration.getUrl(),#test-code #test-case-method,#main-code,2,1,,,
jenkins,getConfiguredRootUrl,rootUrlIs,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/model/JenkinsGetRootUrlTest.java#L59,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/model/JenkinsGetRootUrlTest.java#L211,jenkins.model.JenkinsGetRootUrlTest.getConfiguredRootUrl(),jenkins.model.JenkinsGetRootUrlTest.getConfiguredRootUrl(),jenkins.model.JenkinsGetRootUrlTest.getConfiguredRootUrl(),jenkins.model.JenkinsGetRootUrlTest.rootUrlIs(java.lang.String),jenkins.model.JenkinsGetRootUrlTest.rootUrlIs(String),jenkins.model.JenkinsGetRootUrlTest.rootUrlIs(String),#test-code #test-case-method,#test-code #test-helper-method,1,1,,,
jenkins,should_search_builds_by_build_params,setSearchString,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/widgets/HistoryPageFilterTest.java#L351,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/jenkins/widgets/HistoryPageFilter.java#L110,jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilter.setSearchString(java.lang.String),jenkins.widgets.HistoryPageFilter.setSearchString(String),jenkins.widgets.HistoryPageFilter.setSearchString(String),#test-code #test-case-method,#main-code,2,1,1,,
jenkins,should_search_builds_by_build_params,add,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/widgets/HistoryPageFilterTest.java#L351,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/jenkins/widgets/HistoryPageFilter.java#L131,jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),"jenkins.widgets.HistoryPageFilter.add(java.lang.Iterable<T>, java.util.List<hudson.model.Queue.Item>)","jenkins.widgets.HistoryPageFilter.add(Iterable, List)","jenkins.widgets.HistoryPageFilter.add(Iterable, List)",#test-code #test-case-method,#main-code,2,1,1,,
jenkins,should_search_builds_by_build_params,MockBuild,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/widgets/HistoryPageFilterTest.java#L351,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/widgets/HistoryPageFilterTest.java#L475,jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilterTest.MockBuild.MockBuild(int),jenkins.widgets.HistoryPageFilterTest.MockBuild.MockBuild(int),jenkins.widgets.HistoryPageFilterTest.MockBuild.MockBuild(int),#test-code #test-case-method,#test-code #test-helper-method,1,1,,,
jenkins,should_search_builds_by_build_params,withBuildParameters,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/widgets/HistoryPageFilterTest.java#L351,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/widgets/HistoryPageFilterTest.java#L495,jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilterTest.MockBuild.withBuildParameters(java.util.Map),jenkins.widgets.HistoryPageFilterTest.MockBuild.withBuildParameters(Map),jenkins.widgets.HistoryPageFilterTest.MockBuild.withBuildParameters(Map),#test-code #test-case-method,#test-code #test-helper-method,1,1,,,
jenkins,should_search_builds_by_build_params,ParametersAction,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/widgets/HistoryPageFilterTest.java#L351,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/hudson/model/ParametersAction.java#L120,jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),"hudson.model.ParametersAction.ParametersAction(java.util.List<hudson.model.ParameterValue>, java.util.Collection<java.lang.String>)","hudson.model.ParametersAction.ParametersAction(List, Collection)","hudson.model.ParametersAction.ParametersAction(List, Collection)",#test-code #test-case-method,#main-code,2,1,,,
jenkins,should_search_builds_by_build_params,StringParameterValue,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/widgets/HistoryPageFilterTest.java#L351,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/hudson/model/StringParameterValue.java#L46,jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),"hudson.model.StringParameterValue.StringParameterValue(java.lang.String, java.lang.String)","hudson.model.StringParameterValue.StringParameterValue(String, String)","hudson.model.StringParameterValue.StringParameterValue(String, String)",#test-code #test-case-method,#main-code,3,1,,,
